Station,Date,Air max,min,heat unit
ARVIN.A,20170101,57,37,1.33333333333
ARVIN.A,20170102,53,41,1.33333333333
ARVIN.A,20170103,57,40,2.16666666667
ARVIN.A,20170104,60,43,3.83333333333
ARVIN.A,20170105,55,47,3.55555555556
ARVIN.A,20170106,54,41,1.61111111111
ARVIN.A,20170107,64,45,5.5
ARVIN.A,20170108,78,56,12.4444444444
ARVIN.A,20170109,63,49,6.33333333333
ARVIN.A,20170110,64,48,6.33333333333
ARVIN.A,20170111,65,52,7.72222222222
ARVIN.A,20170112,60,48,5.22222222222
ARVIN.A,20170113,48,45,1.05555555556
ARVIN.A,20170114,47,41,-0.333333333333
ARVIN.A,20170115,45,43,-0.333333333333
ARVIN.A,20170116,47,34,-2.27777777778
ARVIN.A,20170117,59,30,-0.0555555555556
ARVIN.A,20170118,58,34,0.777777777778
ARVIN.A,20170119,60,45,4.38888888889
ARVIN.A,20170120,54,46,3.0
ARVIN.A,20170121,59,46,4.38888888889
ARVIN.A,20170122,64,49,6.61111111111
ARVIN.A,20170123,53,38,0.5
ARVIN.A,20170124,56,35,0.5
ARVIN.A,20170125,56,36,0.777777777778
ARVIN.A,20170126,55,33,-0.333333333333
ARVIN.A,20170127,57,33,0.222222222222
ARVIN.A,20170128,59,32,0.5
ARVIN.A,20170129,61,32,1.05555555556
ARVIN.A,20170130,62,34,1.88888888889
ARVIN.A,20170131,68,37,4.38888888889
ARVIN.A,20170201,70,36,4.66666666667
ARVIN.A,20170202,65,45,5.77777777778
ARVIN.A,20170203,72,51,9.38888888889
ARVIN.A,20170204,66,46,6.33333333333
ARVIN.A,20170205,60,41,3.27777777778
ARVIN.A,20170206,68,51,8.27777777778
ARVIN.A,20170207,72,52,9.66666666667
ARVIN.A,20170208,75,56,11.6111111111
ARVIN.A,20170209,77,53,11.3333333333
ARVIN.A,20170210,62,57,8.27777777778
ARVIN.A,20170211,57,50,4.94444444444
ARVIN.A,20170212,62,45,4.94444444444
ARVIN.A,20170213,66,42,5.22222222222
ARVIN.A,20170214,67,49,7.44444444444
ARVIN.A,20170215,75,52,10.5
ARVIN.A,20170216,64,45,5.5
ARVIN.A,20170217,62,52,6.88888888889
ARVIN.A,20170218,64,46,5.77777777778
ARVIN.A,20170219,60,48,5.22222222222
ARVIN.A,20170220,73,53,10.2222222222
ARVIN.A,20170221,72,54,10.2222222222
ARVIN.A,20170222,58,45,3.83333333333
ARVIN.A,20170223,52,39,0.5
ARVIN.A,20170224,56,31,-0.611111111111
ARVIN.A,20170225,52,30,-2.0
ARVIN.A,20170226,58,40,2.44444444444
ARVIN.A,20170227,51,44,1.61111111111
ARVIN.A,20170228,62,38,3.0
ARVIN.A,20170301,63,33,1.88888888889
ARVIN.A,20170302,67,36,3.83333333333
ARVIN.A,20170303,69,38,4.94444444444
ARVIN.A,20170304,74,39,6.61111111111
ARVIN.A,20170305,58,42,3.0
ARVIN.A,20170306,58,31,-0.0555555555556
ARVIN.A,20170307,63,33,1.88888888889
ARVIN.A,20170308,66,37,3.83333333333
ARVIN.A,20170309,72,41,6.61111111111
ARVIN.A,20170310,71,46,7.72222222222
ARVIN.A,20170311,75,48,9.38888888889
ARVIN.A,20170312,76,48,9.66666666667
ARVIN.A,20170313,78,49,10.5
ARVIN.A,20170314,84,48,11.8888888889
ARVIN.A,20170315,87,53,14.1111111111
ARVIN.A,20170316,75,50,9.94444444444
ARVIN.A,20170317,79,49,10.7777777778
ARVIN.A,20170318,82,50,11.8888888889
ARVIN.A,20170319,73,51,9.66666666667
ARVIN.A,20170320,74,51,9.94444444444
ARVIN.A,20170321,70,53,9.38888888889
ARVIN.A,20170322,66,49,7.16666666667
ARVIN.A,20170323,62,43,4.38888888889
ARVIN.A,20170324,73,37,5.77777777778
ARVIN.A,20170325,67,52,8.27777777778
ARVIN.A,20170326,67,53,8.55555555556
ARVIN.A,20170327,65,52,7.72222222222
ARVIN.A,20170328,68,47,7.16666666667
ARVIN.A,20170329,76,42,8.0
ARVIN.A,20170330,73,46,8.27777777778
ARVIN.A,20170331,67,44,6.05555555556
ARVIN.A,20170401,77,38,7.16666666667
ARVIN.A,20170402,83,46,11.0555555556
ARVIN.A,20170403,77,49,10.2222222222
ARVIN.A,20170404,84,43,10.5
ARVIN.A,20170405,88,47,12.7222222222
ARVIN.A,20170406,77,56,12.1666666667
ARVIN.A,20170407,82,51,12.1666666667
ARVIN.A,20170408,66,43,5.5
ARVIN.A,20170409,67,37,4.11111111111
ARVIN.A,20170410,70,39,5.5
ARVIN.A,20170411,76,41,7.72222222222
ARVIN.A,20170412,81,44,9.94444444444
ARVIN.A,20170413,73,52,9.94444444444
ARVIN.A,20170414,64,49,6.61111111111
ARVIN.A,20170415,75,39,6.88888888889
ARVIN.A,20170416,85,47,11.8888888889
ARVIN.A,20170417,81,52,12.1666666667
ARVIN.A,20170418,69,59,10.7777777778
ARVIN.A,20170419,73,58,11.6111111111
ARVIN.A,20170420,73,55,10.7777777778
ARVIN.A,20170421,78,45,9.38888888889
ARVIN.A,20170422,84,49,12.1666666667
ARVIN.A,20170423,76,54,11.3333333333
ARVIN.A,20170424,73,54,10.5
ARVIN.A,20170425,70,55,9.94444444444
ARVIN.A,20170426,75,46,8.83333333333
ARVIN.A,20170427,74,52,10.2222222222
ARVIN.A,20170428,76,54,11.3333333333
ARVIN.A,20170429,85,44,11.0555555556
ARVIN.A,20170430,86,48,12.4444444444
ARVIN.A,20170501,89,53,14.6666666667
ARVIN.A,20170502,92,59,17.1666666667
ARVIN.A,20170503,98,61,19.3888888889
ARVIN.A,20170504,103,67,22.4444444444
ARVIN.A,20170505,87,60,16.0555555556
ARVIN.A,20170506,68,50,8.0
ARVIN.A,20170507,70,49,8.27777777778
ARVIN.A,20170508,78,47,9.94444444444
ARVIN.A,20170509,88,53,14.3888888889
ARVIN.A,20170510,83,55,13.5555555556
ARVIN.A,20170511,83,54,13.2777777778
ARVIN.A,20170512,67,47,6.88888888889
ARVIN.A,20170513,70,47,7.72222222222
ARVIN.A,20170514,75,46,8.83333333333
ARVIN.A,20170515,71,55,10.2222222222
ARVIN.A,20170516,77,52,11.0555555556
ARVIN.A,20170517,71,52,9.38888888889
ARVIN.A,20170518,80,47,10.5
ARVIN.A,20170519,90,53,14.9444444444
ARVIN.A,20170520,94,58,17.4444444444
ARVIN.A,20170521,98,61,19.3888888889
ARVIN.A,20170522,100,62,20.2222222222
ARVIN.A,20170523,100,67,21.6111111111
ARVIN.A,20170524,97,66,20.5
ARVIN.A,20170525,81,56,13.2777777778
ARVIN.A,20170526,75,55,11.3333333333
ARVIN.A,20170527,82,53,12.7222222222
ARVIN.A,20170528,88,59,16.0555555556
ARVIN.A,20170529,90,65,18.2777777778
ARVIN.A,20170530,90,69,19.3888888889
ARVIN.A,20170531,74,58,11.8888888889
ARVIN.A,20170601,83,57,14.1111111111
ARVIN.A,20170602,90,63,17.7222222222
ARVIN.A,20170603,96,66,20.2222222222
ARVIN.A,20170604,95,68,20.5
ARVIN.A,20170605,95,60,18.2777777778
ARVIN.A,20170606,96,61,18.8333333333
ARVIN.A,20170607,96,66,20.2222222222
ARVIN.A,20170608,89,61,16.8888888889
ARVIN.A,20170609,86,58,15.2222222222
ARVIN.A,20170610,77,60,13.2777777778
ARVIN.A,20170611,73,58,11.6111111111
ARVIN.A,20170612,75,55,11.3333333333
ARVIN.A,20170613,82,51,12.1666666667
ARVIN.A,20170614,90,55,15.5
ARVIN.A,20170615,94,62,18.5555555556
ARVIN.A,20170616,96,63,19.3888888889
ARVIN.A,20170617,99,69,21.8888888889
ARVIN.A,20170618,104,73,24.3888888889
ARVIN.A,20170619,94,64,19.1111111111
ARVIN.A,20170620,107,77,26.3333333333
ARVIN.A,20170621,107,75,25.7777777778
ARVIN.A,20170622,106,75,25.5
ARVIN.A,20170623,106,75,25.5
ARVIN.A,20170624,105,77,25.7777777778
ARVIN.A,20170625,107,72,24.9444444444
ARVIN.A,20170626,100,71,22.7222222222
ARVIN.A,20170627,94,66,19.6666666667
ARVIN.A,20170628,95,67,20.2222222222
ARVIN.A,20170629,97,65,20.2222222222
