Station,Date,Air max,min,heat unit
Coalinga.A,20170101,52,30,-2.0
Coalinga.A,20170102,51,40,0.5
Coalinga.A,20170103,59,42,3.27777777778
Coalinga.A,20170104,58,48,4.66666666667
Coalinga.A,20170105,59,40,2.72222222222
Coalinga.A,20170106,52,32,-1.44444444444
Coalinga.A,20170107,57,37,1.33333333333
Coalinga.A,20170108,57,36,1.05555555556
Coalinga.A,20170109,57,37,1.33333333333
Coalinga.A,20170110,61,52,6.61111111111
Coalinga.A,20170111,62,49,6.05555555556
Coalinga.A,20170112,57,37,1.33333333333
Coalinga.A,20170113,53,37,0.222222222222
Coalinga.A,20170114,53,35,-0.333333333333
Coalinga.A,20170115,51,33,-1.44444444444
Coalinga.A,20170116,59,38,2.16666666667
Coalinga.A,20170117,54,34,-0.333333333333
Coalinga.A,20170118,54,47,3.27777777778
Coalinga.A,20170119,59,43,3.55555555556
Coalinga.A,20170120,60,43,3.83333333333
Coalinga.A,20170121,56,39,1.61111111111
Coalinga.A,20170122,56,46,3.55555555556
Coalinga.A,20170123,54,37,0.5
Coalinga.A,20170124,52,32,-1.44444444444
Coalinga.A,20170125,56,31,-0.611111111111
Coalinga.A,20170126,55,30,-1.16666666667
Coalinga.A,20170127,58,31,-0.0555555555556
Coalinga.A,20170128,59,30,-0.0555555555556
Coalinga.A,20170129,60,29,-0.0555555555556
Coalinga.A,20170130,63,31,1.33333333333
Coalinga.A,20170131,63,33,1.88888888889
Coalinga.A,20170201,67,38,4.38888888889
Coalinga.A,20170202,61,49,5.77777777778
Coalinga.A,20170203,68,47,7.16666666667
Coalinga.A,20170204,64,41,4.38888888889
Coalinga.A,20170205,61,43,4.11111111111
Coalinga.A,20170206,61,50,6.05555555556
Coalinga.A,20170207,65,52,7.72222222222
Coalinga.A,20170208,71,55,10.2222222222
Coalinga.A,20170209,69,56,9.94444444444
Coalinga.A,20170210,62,53,7.16666666667
Coalinga.A,20170211,57,44,3.27777777778
Coalinga.A,20170212,60,38,2.44444444444
Coalinga.A,20170213,64,37,3.27777777778
Coalinga.A,20170214,68,42,5.77777777778
Coalinga.A,20170215,69,46,7.16666666667
Coalinga.A,20170216,61,50,6.05555555556
Coalinga.A,20170217,56,51,4.94444444444
Coalinga.A,20170218,64,47,6.05555555556
Coalinga.A,20170219,56,46,3.55555555556
Coalinga.A,20170220,67,50,7.72222222222
Coalinga.A,20170221,68,47,7.16666666667
Coalinga.A,20170222,58,41,2.72222222222
Coalinga.A,20170223,54,33,-0.611111111111
Coalinga.A,20170224,56,29,-1.16666666667
Coalinga.A,20170225,54,31,-1.16666666667
Coalinga.A,20170226,59,32,0.5
Coalinga.A,20170227,56,40,1.88888888889
Coalinga.A,20170228,59,33,0.777777777778
Coalinga.A,20170301,62,33,1.61111111111
Coalinga.A,20170302,66,33,2.72222222222
Coalinga.A,20170303,69,35,4.11111111111
Coalinga.A,20170304,67,39,4.66666666667
Coalinga.A,20170305,54,32,-0.888888888889
Coalinga.A,20170306,67,42,5.5
Coalinga.A,20170307,60,33,1.05555555556
Coalinga.A,20170308,67,37,4.11111111111
Coalinga.A,20170309,72,40,6.33333333333
Coalinga.A,20170310,71,48,8.27777777778
Coalinga.A,20170311,76,47,9.38888888889
Coalinga.A,20170312,79,47,10.2222222222
Coalinga.A,20170313,79,44,9.38888888889
Coalinga.A,20170314,85,48,12.1666666667
Coalinga.A,20170315,87,50,13.2777777778
Coalinga.A,20170316,75,45,8.55555555556
Coalinga.A,20170317,79,48,10.5
Coalinga.A,20170318,80,52,11.8888888889
Coalinga.A,20170319,76,49,9.94444444444
Coalinga.A,20170320,69,51,8.55555555556
Coalinga.A,20170321,71,47,8.0
Coalinga.A,20170322,60,42,3.55555555556
Coalinga.A,20170323,64,40,4.11111111111
Coalinga.A,20170324,67,45,6.33333333333
Coalinga.A,20170325,65,45,5.77777777778
Coalinga.A,20170326,64,45,5.5
Coalinga.A,20170327,66,44,5.77777777778
Coalinga.A,20170328,68,43,6.05555555556
Coalinga.A,20170329,78,40,8.0
Coalinga.A,20170330,76,45,8.83333333333
Coalinga.A,20170331,69,48,7.72222222222
Coalinga.A,20170401,75,41,7.44444444444
Coalinga.A,20170402,79,49,10.7777777778
Coalinga.A,20170403,78,47,9.94444444444
Coalinga.A,20170404,80,45,9.94444444444
Coalinga.A,20170405,83,51,12.4444444444
Coalinga.A,20170406,71,52,9.38888888889
Coalinga.A,20170407,65,53,8.0
Coalinga.A,20170408,62,37,2.72222222222
Coalinga.A,20170409,65,33,2.44444444444
Coalinga.A,20170410,70,47,7.72222222222
Coalinga.A,20170411,74,48,9.11111111111
Coalinga.A,20170412,73,54,10.5
Coalinga.A,20170413,67,46,6.61111111111
Coalinga.A,20170414,65,34,2.72222222222
Coalinga.A,20170415,73,39,6.33333333333
Coalinga.A,20170416,75,50,9.94444444444
Coalinga.A,20170417,75,54,11.0555555556
Coalinga.A,20170418,62,49,6.05555555556
Coalinga.A,20170419,74,44,8.0
Coalinga.A,20170420,74,43,7.72222222222
Coalinga.A,20170421,78,42,8.55555555556
Coalinga.A,20170422,83,49,11.8888888889
Coalinga.A,20170423,76,50,10.2222222222
Coalinga.A,20170424,73,44,7.72222222222
Coalinga.A,20170425,75,42,7.72222222222
Coalinga.A,20170426,77,49,10.2222222222
Coalinga.A,20170427,81,49,11.3333333333
Coalinga.A,20170428,79,51,11.3333333333
Coalinga.A,20170429,80,46,10.2222222222
Coalinga.A,20170430,86,52,13.5555555556
Coalinga.A,20170501,89,54,14.9444444444
Coalinga.A,20170502,92,63,18.2777777778
Coalinga.A,20170503,94,62,18.5555555556
Coalinga.A,20170504,98,67,21.0555555556
Coalinga.A,20170505,85,60,15.5
Coalinga.A,20170506,68,48,7.44444444444
Coalinga.A,20170507,71,49,8.55555555556
Coalinga.A,20170508,79,52,11.6111111111
Coalinga.A,20170509,87,58,15.5
Coalinga.A,20170510,83,61,15.2222222222
Coalinga.A,20170511,81,61,14.6666666667
Coalinga.A,20170512,72,51,9.38888888889
Coalinga.A,20170513,72,44,7.44444444444
Coalinga.A,20170514,72,45,7.72222222222
Coalinga.A,20170515,72,48,8.55555555556
Coalinga.A,20170516,76,48,9.66666666667
Coalinga.A,20170517,78,49,10.5
Coalinga.A,20170518,84,47,11.6111111111
Coalinga.A,20170519,89,58,16.0555555556
Coalinga.A,20170520,92,61,17.7222222222
Coalinga.A,20170521,96,64,19.6666666667
Coalinga.A,20170522,97,67,20.7777777778
Coalinga.A,20170523,100,67,21.6111111111
Coalinga.A,20170524,95,66,19.9444444444
Coalinga.A,20170525,73,55,10.7777777778
Coalinga.A,20170526,77,54,11.6111111111
Coalinga.A,20170527,81,51,11.8888888889
Coalinga.A,20170528,89,56,15.5
Coalinga.A,20170529,91,60,17.1666666667
Coalinga.A,20170530,90,57,16.0555555556
Coalinga.A,20170531,77,61,13.5555555556
Coalinga.A,20170601,85,55,14.1111111111
Coalinga.A,20170602,91,56,16.0555555556
Coalinga.A,20170603,96,65,19.9444444444
Coalinga.A,20170604,94,65,19.3888888889
Coalinga.A,20170605,92,58,16.8888888889
Coalinga.A,20170606,95,61,18.5555555556
Coalinga.A,20170607,94,61,18.2777777778
Coalinga.A,20170608,86,56,14.6666666667
Coalinga.A,20170609,84,58,14.6666666667
Coalinga.A,20170610,78,50,10.7777777778
Coalinga.A,20170611,73,51,9.66666666667
Coalinga.A,20170612,76,49,9.94444444444
Coalinga.A,20170613,83,51,12.4444444444
Coalinga.A,20170614,90,55,15.5
Coalinga.A,20170615,93,62,18.2777777778
Coalinga.A,20170616,99,61,19.6666666667
Coalinga.A,20170617,101,68,22.1666666667
Coalinga.A,20170618,104,71,23.8333333333
Coalinga.A,20170619,108,77,26.6111111111
Coalinga.A,20170620,108,79,27.1666666667
Coalinga.A,20170621,104,76,25.2222222222
Coalinga.A,20170622,106,78,26.3333333333
Coalinga.A,20170623,106,72,24.6666666667
Coalinga.A,20170624,97,67,20.7777777778
Coalinga.A,20170625,102,71,23.2777777778
Coalinga.A,20170626,97,61,19.1111111111
Coalinga.A,20170627,94,59,17.7222222222
Coalinga.A,20170628,95,60,18.2777777778
Coalinga.A,20170629,97,66,20.5
Coalinga.A,20170630,97,64,19.9444444444
Coalinga.A,20170701,99,64,20.5
Coalinga.A,20170702,100,66,21.3333333333
Coalinga.A,20170703,100,65,21.0555555556
Coalinga.A,20170704,99,65,20.7777777778
Coalinga.A,20170705,100,66,21.3333333333
Coalinga.A,20170706,100,66,21.3333333333
Coalinga.A,20170707,100,66,21.3333333333
Coalinga.A,20170708,101,66,21.6111111111
Coalinga.A,20170709,100,65,21.0555555556
Coalinga.A,20170710,100,67,21.6111111111
Coalinga.A,20170711,101,67,21.8888888889
Coalinga.A,20170712,100,67,21.6111111111
Coalinga.A,20170713,101,68,22.1666666667
Coalinga.A,20170714,103,68,22.7222222222
Coalinga.A,20170715,102,68,22.4444444444
Coalinga.A,20170716,101,67,21.8888888889
Coalinga.A,20170717,100,67,21.6111111111
Coalinga.A,20170718,100,67,21.6111111111
Coalinga.A,20170719,100,68,21.8888888889
Coalinga.A,20170720,100,67,21.6111111111
Coalinga.A,20170721,100,67,21.6111111111
Coalinga.A,20170722,100,67,21.6111111111
Coalinga.A,20170723,100,69,22.1666666667
Coalinga.A,20170724,101,68,22.1666666667
Coalinga.A,20170725,100,67,21.6111111111
Coalinga.A,20170726,101,67,21.8888888889
Coalinga.A,20170727,102,67,22.1666666667
Coalinga.A,20170728,102,68,22.4444444444
Coalinga.A,20170729,101,68,22.1666666667
Coalinga.A,20170730,100,67,21.6111111111
Coalinga.A,20170731,100,67,21.6111111111
Coalinga.A,20170801,100,66,21.3333333333
Coalinga.A,20170802,101,66,21.6111111111
Coalinga.A,20170803,101,66,21.6111111111
Coalinga.A,20170804,100,67,21.6111111111
Coalinga.A,20170805,100,66,21.3333333333
Coalinga.A,20170806,99,65,20.7777777778
Coalinga.A,20170807,100,67,21.6111111111
Coalinga.A,20170808,100,65,21.0555555556
Coalinga.A,20170809,101,66,21.6111111111
Coalinga.A,20170810,100,66,21.3333333333
Coalinga.A,20170811,100,66,21.3333333333
Coalinga.A,20170812,100,66,21.3333333333
Coalinga.A,20170813,100,66,21.3333333333
Coalinga.A,20170814,100,66,21.3333333333
Coalinga.A,20170815,98,65,20.5
Coalinga.A,20170816,99,65,20.7777777778
Coalinga.A,20170817,99,64,20.5
Coalinga.A,20170818,98,65,20.5
Coalinga.A,20170819,97,64,19.9444444444
Coalinga.A,20170820,97,63,19.6666666667
Coalinga.A,20170821,97,64,19.9444444444
Coalinga.A,20170822,98,63,19.9444444444
Coalinga.A,20170823,98,63,19.9444444444
Coalinga.A,20170824,98,63,19.9444444444
Coalinga.A,20170825,97,62,19.3888888889
Coalinga.A,20170826,97,63,19.6666666667
Coalinga.A,20170827,99,64,20.5
Coalinga.A,20170828,99,65,20.7777777778
Coalinga.A,20170829,99,65,20.7777777778
Coalinga.A,20170830,98,64,20.2222222222
Coalinga.A,20170831,96,63,19.3888888889
Coalinga.A,20170901,97,63,19.6666666667
Coalinga.A,20170902,99,64,20.5
Coalinga.A,20170903,98,64,20.2222222222
Coalinga.A,20170904,98,63,19.9444444444
Coalinga.A,20170905,98,62,19.6666666667
Coalinga.A,20170906,97,63,19.6666666667
Coalinga.A,20170907,97,61,19.1111111111
Coalinga.A,20170908,96,62,19.1111111111
Coalinga.A,20170909,95,61,18.5555555556
Coalinga.A,20170910,93,59,17.4444444444
Coalinga.A,20170911,93,60,17.7222222222
Coalinga.A,20170912,94,59,17.7222222222
Coalinga.A,20170913,93,59,17.4444444444
Coalinga.A,20170914,93,60,17.7222222222
Coalinga.A,20170915,93,58,17.1666666667
Coalinga.A,20170916,92,59,17.1666666667
Coalinga.A,20170917,92,59,17.1666666667
Coalinga.A,20170918,92,59,17.1666666667
Coalinga.A,20170919,91,59,16.8888888889
Coalinga.A,20170920,92,58,16.8888888889
