Station,Date,Air max,min,heat unit
FRESNO.C,20170101,51,40,0.5
FRESNO.C,20170102,50,38,-0.333333333333
FRESNO.C,20170103,56,40,1.88888888889
FRESNO.C,20170104,57,50,4.94444444444
FRESNO.C,20170105,56,34,0.222222222222
FRESNO.C,20170106,53,28,-2.27777777778
FRESNO.C,20170107,58,45,3.83333333333
FRESNO.C,20170108,71,57,10.7777777778
FRESNO.C,20170109,61,53,6.88888888889
FRESNO.C,20170110,58,52,5.77777777778
FRESNO.C,20170111,58,48,4.66666666667
FRESNO.C,20170112,52,41,1.05555555556
FRESNO.C,20170113,51,39,0.222222222222
FRESNO.C,20170114,48,41,-0.0555555555556
FRESNO.C,20170115,47,43,0.222222222222
FRESNO.C,20170116,51,35,-0.888888888889
FRESNO.C,20170117,57,30,-0.611111111111
FRESNO.C,20170118,57,47,4.11111111111
FRESNO.C,20170119,59,44,3.83333333333
FRESNO.C,20170120,53,42,1.61111111111
FRESNO.C,20170121,55,39,1.33333333333
FRESNO.C,20170122,56,47,3.83333333333
FRESNO.C,20170123,53,37,0.222222222222
FRESNO.C,20170124,54,33,-0.611111111111
FRESNO.C,20170125,55,31,-0.888888888889
FRESNO.C,20170126,55,31,-0.888888888889
FRESNO.C,20170127,59,31,0.222222222222
FRESNO.C,20170128,62,31,1.05555555556
FRESNO.C,20170129,61,32,1.05555555556
FRESNO.C,20170130,65,33,2.44444444444
FRESNO.C,20170131,68,34,3.55555555556
FRESNO.C,20170201,67,38,4.38888888889
FRESNO.C,20170202,64,50,6.88888888889
FRESNO.C,20170203,65,49,6.88888888889
FRESNO.C,20170204,66,45,6.05555555556
FRESNO.C,20170205,60,43,3.83333333333
FRESNO.C,20170206,58,52,5.77777777778
FRESNO.C,20170207,67,53,8.55555555556
FRESNO.C,20170208,69,59,10.7777777778
FRESNO.C,20170209,63,56,8.27777777778
FRESNO.C,20170210,60,53,6.61111111111
FRESNO.C,20170211,55,45,3.0
FRESNO.C,20170212,61,42,3.83333333333
FRESNO.C,20170213,64,39,3.83333333333
FRESNO.C,20170214,69,40,5.5
FRESNO.C,20170215,74,43,7.72222222222
FRESNO.C,20170216,60,51,6.05555555556
FRESNO.C,20170217,58,51,5.5
FRESNO.C,20170218,65,49,6.88888888889
FRESNO.C,20170219,58,46,4.11111111111
FRESNO.C,20170220,63,51,6.88888888889
FRESNO.C,20170221,67,52,8.27777777778
FRESNO.C,20170222,57,43,3.0
FRESNO.C,20170223,54,35,-0.0555555555556
FRESNO.C,20170224,57,30,-0.611111111111
FRESNO.C,20170225,58,31,-0.0555555555556
FRESNO.C,20170226,59,32,0.5
FRESNO.C,20170227,57,41,2.44444444444
FRESNO.C,20170228,59,33,0.777777777778
FRESNO.C,20170301,64,33,2.16666666667
FRESNO.C,20170302,67,35,3.55555555556
FRESNO.C,20170303,70,37,4.94444444444
FRESNO.C,20170304,69,41,5.77777777778
FRESNO.C,20170305,53,36,-0.0555555555556
FRESNO.C,20170306,58,31,-0.0555555555556
FRESNO.C,20170307,62,35,2.16666666667
FRESNO.C,20170308,67,37,4.11111111111
FRESNO.C,20170309,72,52,9.66666666667
FRESNO.C,20170310,71,46,7.72222222222
FRESNO.C,20170311,74,45,8.27777777778
FRESNO.C,20170312,77,47,9.66666666667
FRESNO.C,20170313,81,48,11.0555555556
FRESNO.C,20170314,86,50,13.0
FRESNO.C,20170315,85,53,13.5555555556
FRESNO.C,20170316,75,51,10.2222222222
FRESNO.C,20170317,80,49,11.0555555556
FRESNO.C,20170318,79,51,11.3333333333
FRESNO.C,20170319,77,50,10.5
FRESNO.C,20170320,71,55,10.2222222222
FRESNO.C,20170321,71,55,10.2222222222
FRESNO.C,20170322,70,46,7.44444444444
FRESNO.C,20170323,70,47,7.72222222222
FRESNO.C,20170324,70,47,7.72222222222
FRESNO.C,20170325,64,50,6.88888888889
FRESNO.C,20170326,68,46,6.88888888889
FRESNO.C,20170327,65,48,6.61111111111
FRESNO.C,20170328,69,46,7.16666666667
FRESNO.C,20170329,70,46,7.44444444444
FRESNO.C,20170330,71,47,8.0
FRESNO.C,20170331,67,38,4.38888888889
FRESNO.C,20170401,76,41,7.72222222222
FRESNO.C,20170402,78,46,9.66666666667
FRESNO.C,20170403,74,47,8.83333333333
FRESNO.C,20170404,77,46,9.38888888889
FRESNO.C,20170405,83,47,11.3333333333
FRESNO.C,20170406,73,55,10.7777777778
FRESNO.C,20170407,62,52,6.88888888889
FRESNO.C,20170408,59,43,3.55555555556
FRESNO.C,20170409,64,36,3.0
FRESNO.C,20170410,69,41,5.77777777778
FRESNO.C,20170411,73,50,9.38888888889
FRESNO.C,20170412,77,51,10.7777777778
FRESNO.C,20170413,65,49,6.88888888889
FRESNO.C,20170414,65,42,4.94444444444
FRESNO.C,20170415,74,41,7.16666666667
FRESNO.C,20170416,74,46,8.55555555556
