Station,Date,Air max,min,heat unit
PANOCHE.A,20170101,55,27,-2.0
PANOCHE.A,20170102,52,37,-0.0555555555556
PANOCHE.A,20170103,55,41,1.88888888889
PANOCHE.A,20170104,56,47,3.83333333333
PANOCHE.A,20170105,50,34,-1.44444444444
PANOCHE.A,20170106,46,28,-4.22222222222
PANOCHE.A,20170107,55,41,1.88888888889
PANOCHE.A,20170108,67,52,8.27777777778
PANOCHE.A,20170109,62,50,6.33333333333
PANOCHE.A,20170110,56,49,4.38888888889
PANOCHE.A,20170111,60,47,4.94444444444
PANOCHE.A,20170112,54,42,1.88888888889
PANOCHE.A,20170113,52,36,-0.333333333333
PANOCHE.A,20170114,48,34,-2.0
PANOCHE.A,20170115,46,30,-3.66666666667
PANOCHE.A,20170116,48,34,-2.0
PANOCHE.A,20170117,48,30,-3.11111111111
PANOCHE.A,20170118,47,36,-1.72222222222
PANOCHE.A,20170119,58,41,2.72222222222
PANOCHE.A,20170120,57,43,3.0
PANOCHE.A,20170121,55,40,1.61111111111
PANOCHE.A,20170122,56,44,3.0
PANOCHE.A,20170123,53,37,0.222222222222
PANOCHE.A,20170124,49,31,-2.55555555556
PANOCHE.A,20170125,55,32,-0.611111111111
PANOCHE.A,20170126,54,34,-0.333333333333
PANOCHE.A,20170127,55,32,-0.611111111111
PANOCHE.A,20170128,58,31,-0.0555555555556
PANOCHE.A,20170129,57,30,-0.611111111111
PANOCHE.A,20170130,60,32,0.777777777778
PANOCHE.A,20170131,59,33,0.777777777778
PANOCHE.A,20170201,62,40,3.55555555556
PANOCHE.A,20170202,62,48,5.77777777778
PANOCHE.A,20170203,65,50,7.16666666667
PANOCHE.A,20170204,63,46,5.5
PANOCHE.A,20170205,59,45,4.11111111111
PANOCHE.A,20170206,59,50,5.5
PANOCHE.A,20170207,65,52,7.72222222222
PANOCHE.A,20170208,65,54,8.27777777778
PANOCHE.A,20170209,67,54,8.83333333333
PANOCHE.A,20170210,58,50,5.22222222222
PANOCHE.A,20170211,58,43,3.27777777778
PANOCHE.A,20170212,59,40,2.72222222222
PANOCHE.A,20170213,59,38,2.16666666667
PANOCHE.A,20170214,66,43,5.5
PANOCHE.A,20170215,66,43,5.5
PANOCHE.A,20170216,61,50,6.05555555556
PANOCHE.A,20170217,54,49,3.83333333333
PANOCHE.A,20170218,59,44,3.83333333333
PANOCHE.A,20170219,52,38,0.222222222222
PANOCHE.A,20170220,67,49,7.44444444444
PANOCHE.A,20170221,66,48,6.88888888889
PANOCHE.A,20170222,57,40,2.16666666667
PANOCHE.A,20170223,53,37,0.222222222222
PANOCHE.A,20170224,55,32,-0.611111111111
PANOCHE.A,20170225,56,35,0.5
PANOCHE.A,20170226,58,36,1.33333333333
PANOCHE.A,20170227,56,41,2.16666666667
PANOCHE.A,20170228,58,34,0.777777777778
PANOCHE.A,20170301,61,32,1.05555555556
PANOCHE.A,20170302,64,34,2.44444444444
PANOCHE.A,20170303,69,36,4.38888888889
PANOCHE.A,20170304,65,42,4.94444444444
PANOCHE.A,20170305,55,37,0.777777777778
PANOCHE.A,20170306,59,34,1.05555555556
PANOCHE.A,20170307,60,38,2.44444444444
PANOCHE.A,20170308,65,41,4.66666666667
PANOCHE.A,20170309,74,52,10.2222222222
PANOCHE.A,20170310,69,49,8.0
PANOCHE.A,20170311,74,45,8.27777777778
PANOCHE.A,20170312,74,45,8.27777777778
PANOCHE.A,20170313,76,41,7.72222222222
PANOCHE.A,20170314,84,48,11.8888888889
PANOCHE.A,20170315,80,48,10.7777777778
PANOCHE.A,20170316,72,49,8.83333333333
PANOCHE.A,20170317,76,43,8.27777777778
PANOCHE.A,20170318,72,49,8.83333333333
PANOCHE.A,20170319,71,51,9.11111111111
PANOCHE.A,20170320,72,52,9.66666666667
PANOCHE.A,20170321,70,47,7.72222222222
PANOCHE.A,20170322,59,45,4.11111111111
PANOCHE.A,20170323,63,40,3.83333333333
PANOCHE.A,20170324,59,47,4.66666666667
PANOCHE.A,20170325,63,47,5.77777777778
PANOCHE.A,20170326,66,45,6.05555555556
PANOCHE.A,20170327,65,46,6.05555555556
PANOCHE.A,20170328,69,46,7.16666666667
PANOCHE.A,20170329,74,44,8.0
PANOCHE.A,20170330,71,44,7.16666666667
PANOCHE.A,20170331,69,50,8.27777777778
PANOCHE.A,20170401,73,46,8.27777777778
PANOCHE.A,20170402,75,45,8.55555555556
PANOCHE.A,20170403,74,47,8.83333333333
