Station,Date,Air max,min,heat unit
FIREBAGH.A,20170101,53,30,-1.72222222222
FIREBAGH.A,20170102,53,37,0.222222222222
FIREBAGH.A,20170103,57,43,3.0
FIREBAGH.A,20170104,57,49,4.66666666667
FIREBAGH.A,20170105,51,34,-1.16666666667
FIREBAGH.A,20170106,47,29,-3.66666666667
FIREBAGH.A,20170107,56,43,2.72222222222
FIREBAGH.A,20170108,68,54,9.11111111111
FIREBAGH.A,20170109,62,52,6.88888888889
FIREBAGH.A,20170110,58,52,5.77777777778
FIREBAGH.A,20170111,61,48,5.5
FIREBAGH.A,20170112,55,42,2.16666666667
FIREBAGH.A,20170113,53,36,-0.0555555555556
FIREBAGH.A,20170114,48,35,-1.72222222222
FIREBAGH.A,20170115,51,31,-2.0
FIREBAGH.A,20170116,48,35,-1.72222222222
FIREBAGH.A,20170117,50,29,-2.83333333333
FIREBAGH.A,20170118,49,47,1.88888888889
FIREBAGH.A,20170119,58,41,2.72222222222
FIREBAGH.A,20170120,57,44,3.27777777778
FIREBAGH.A,20170121,55,41,1.88888888889
FIREBAGH.A,20170122,57,45,3.55555555556
FIREBAGH.A,20170123,53,37,0.222222222222
FIREBAGH.A,20170124,50,32,-2.0
FIREBAGH.A,20170125,55,32,-0.611111111111
FIREBAGH.A,20170126,55,35,0.222222222222
FIREBAGH.A,20170127,55,34,-0.0555555555556
FIREBAGH.A,20170128,58,31,-0.0555555555556
FIREBAGH.A,20170129,60,33,1.05555555556
FIREBAGH.A,20170130,61,33,1.33333333333
FIREBAGH.A,20170131,61,34,1.61111111111
FIREBAGH.A,20170201,63,41,4.11111111111
FIREBAGH.A,20170202,63,50,6.61111111111
FIREBAGH.A,20170203,67,51,8.0
FIREBAGH.A,20170204,65,44,5.5
FIREBAGH.A,20170205,60,45,4.38888888889
FIREBAGH.A,20170206,60,52,6.33333333333
FIREBAGH.A,20170207,70,53,9.38888888889
FIREBAGH.A,20170208,67,57,9.66666666667
FIREBAGH.A,20170209,67,55,9.11111111111
FIREBAGH.A,20170210,60,52,6.33333333333
FIREBAGH.A,20170211,60,45,4.38888888889
FIREBAGH.A,20170212,61,40,3.27777777778
FIREBAGH.A,20170213,63,37,3.0
FIREBAGH.A,20170214,67,45,6.33333333333
FIREBAGH.A,20170215,67,43,5.77777777778
FIREBAGH.A,20170216,60,50,5.77777777778
FIREBAGH.A,20170217,56,51,4.94444444444
FIREBAGH.A,20170218,64,46,5.77777777778
FIREBAGH.A,20170219,55,38,1.05555555556
FIREBAGH.A,20170220,68,51,8.27777777778
FIREBAGH.A,20170221,68,51,8.27777777778
FIREBAGH.A,20170222,59,43,3.55555555556
FIREBAGH.A,20170223,54,34,-0.333333333333
FIREBAGH.A,20170224,64,41,4.38888888889
FIREBAGH.A,20170225,57,34,0.5
FIREBAGH.A,20170226,60,37,2.16666666667
FIREBAGH.A,20170227,59,41,3.0
FIREBAGH.A,20170228,60,35,1.61111111111
FIREBAGH.A,20170301,64,35,2.72222222222
FIREBAGH.A,20170302,67,37,4.11111111111
FIREBAGH.A,20170303,70,37,4.94444444444
FIREBAGH.A,20170304,67,42,5.5
FIREBAGH.A,20170305,58,35,1.05555555556
FIREBAGH.A,20170306,61,31,0.777777777778
FIREBAGH.A,20170307,63,38,3.27777777778
FIREBAGH.A,20170308,67,41,5.22222222222
FIREBAGH.A,20170309,74,53,10.5
FIREBAGH.A,20170310,71,48,8.27777777778
FIREBAGH.A,20170311,77,46,9.38888888889
FIREBAGH.A,20170312,77,44,8.83333333333
FIREBAGH.A,20170313,80,44,9.66666666667
FIREBAGH.A,20170314,67,42,5.5
FIREBAGH.A,20170315,67,42,5.5
FIREBAGH.A,20170316,75,51,10.2222222222
FIREBAGH.A,20170317,68,42,5.77777777778
FIREBAGH.A,20170318,76,49,9.94444444444
FIREBAGH.A,20170319,72,51,9.38888888889
FIREBAGH.A,20170320,72,50,9.11111111111
FIREBAGH.A,20170321,75,47,9.11111111111
FIREBAGH.A,20170322,62,45,4.94444444444
FIREBAGH.A,20170323,66,39,4.38888888889
FIREBAGH.A,20170324,60,46,4.66666666667
FIREBAGH.A,20170325,66,48,6.88888888889
FIREBAGH.A,20170326,69,46,7.16666666667
FIREBAGH.A,20170327,66,47,6.61111111111
FIREBAGH.A,20170328,70,46,7.44444444444
FIREBAGH.A,20170329,76,45,8.83333333333
FIREBAGH.A,20170330,71,44,7.16666666667
