Station,Date,Air max,min,heat unit
LOSBANOS.C,20170101,55,31,-0.888888888889
LOSBANOS.C,20170102,54,38,0.777777777778
LOSBANOS.C,20170103,56,43,2.72222222222
LOSBANOS.C,20170104,58,48,4.66666666667
LOSBANOS.C,20170105,53,33,-0.888888888889
LOSBANOS.C,20170106,48,29,-3.38888888889
LOSBANOS.C,20170107,57,43,3.0
LOSBANOS.C,20170108,68,55,9.38888888889
LOSBANOS.C,20170109,62,52,6.88888888889
LOSBANOS.C,20170110,57,52,5.5
LOSBANOS.C,20170111,61,47,5.22222222222
LOSBANOS.C,20170112,56,40,1.88888888889
LOSBANOS.C,20170113,54,35,-0.0555555555556
LOSBANOS.C,20170114,48,34,-2.0
LOSBANOS.C,20170115,48,32,-2.55555555556
LOSBANOS.C,20170116,49,33,-2.0
LOSBANOS.C,20170117,51,30,-2.27777777778
LOSBANOS.C,20170118,50,38,-0.333333333333
LOSBANOS.C,20170119,59,41,3.0
LOSBANOS.C,20170120,59,43,3.55555555556
LOSBANOS.C,20170121,56,40,1.88888888889
LOSBANOS.C,20170122,56,45,3.27777777778
LOSBANOS.C,20170123,54,38,0.777777777778
LOSBANOS.C,20170124,51,32,-1.72222222222
LOSBANOS.C,20170125,56,32,-0.333333333333
LOSBANOS.C,20170126,56,35,0.5
LOSBANOS.C,20170127,56,32,-0.333333333333
LOSBANOS.C,20170128,59,31,0.222222222222
LOSBANOS.C,20170129,61,31,0.777777777778
LOSBANOS.C,20170130,63,33,1.88888888889
LOSBANOS.C,20170131,61,35,1.88888888889
LOSBANOS.C,20170201,65,41,4.66666666667
LOSBANOS.C,20170202,64,50,6.88888888889
LOSBANOS.C,20170203,66,52,8.0
LOSBANOS.C,20170204,66,46,6.33333333333
LOSBANOS.C,20170205,61,46,4.94444444444
LOSBANOS.C,20170206,60,53,6.61111111111
LOSBANOS.C,20170207,65,54,8.27777777778
LOSBANOS.C,20170208,65,55,8.55555555556
LOSBANOS.C,20170209,67,55,9.11111111111
LOSBANOS.C,20170210,62,51,6.61111111111
LOSBANOS.C,20170211,60,44,4.11111111111
LOSBANOS.C,20170212,61,39,3.0
LOSBANOS.C,20170213,62,38,3.0
LOSBANOS.C,20170214,67,43,5.77777777778
LOSBANOS.C,20170215,68,44,6.33333333333
LOSBANOS.C,20170216,64,52,7.44444444444
LOSBANOS.C,20170217,57,52,5.5
LOSBANOS.C,20170218,64,47,6.05555555556
LOSBANOS.C,20170219,54,41,1.61111111111
LOSBANOS.C,20170220,68,51,8.27777777778
LOSBANOS.C,20170221,65,50,7.16666666667
LOSBANOS.C,20170222,59,40,2.72222222222
LOSBANOS.C,20170223,54,34,-0.333333333333
LOSBANOS.C,20170224,57,32,-0.0555555555556
LOSBANOS.C,20170225,58,34,0.777777777778
LOSBANOS.C,20170226,59,36,1.61111111111
LOSBANOS.C,20170227,58,39,2.16666666667
LOSBANOS.C,20170228,59,35,1.33333333333
LOSBANOS.C,20170301,63,35,2.44444444444
LOSBANOS.C,20170302,66,35,3.27777777778
LOSBANOS.C,20170303,69,37,4.66666666667
LOSBANOS.C,20170304,66,44,5.77777777778
LOSBANOS.C,20170305,57,37,1.33333333333
LOSBANOS.C,20170306,59,32,0.5
LOSBANOS.C,20170307,62,37,2.72222222222
LOSBANOS.C,20170308,67,40,4.94444444444
LOSBANOS.C,20170309,71,43,6.88888888889
LOSBANOS.C,20170310,71,49,8.55555555556
LOSBANOS.C,20170311,76,46,9.11111111111
LOSBANOS.C,20170312,76,48,9.66666666667
LOSBANOS.C,20170313,78,45,9.38888888889
LOSBANOS.C,20170314,84,48,11.8888888889
LOSBANOS.C,20170315,81,49,11.3333333333
LOSBANOS.C,20170316,74,49,9.38888888889
LOSBANOS.C,20170317,78,45,9.38888888889
LOSBANOS.C,20170318,72,50,9.11111111111
LOSBANOS.C,20170319,71,51,9.11111111111
LOSBANOS.C,20170320,73,53,10.2222222222
LOSBANOS.C,20170321,72,48,8.55555555556
