Station,Date,Air max,min,heat unit
ORANGE_COVE.A,20170101,49,41,0.222222222222
ORANGE_COVE.A,20170102,50,34,-1.44444444444
ORANGE_COVE.A,20170103,56,39,1.61111111111
ORANGE_COVE.A,20170104,56,50,4.66666666667
ORANGE_COVE.A,20170105,57,35,0.777777777778
ORANGE_COVE.A,20170106,54,29,-1.72222222222
ORANGE_COVE.A,20170107,59,43,3.55555555556
ORANGE_COVE.A,20170108,67,57,9.66666666667
ORANGE_COVE.A,20170109,61,51,6.33333333333
ORANGE_COVE.A,20170110,58,49,4.94444444444
ORANGE_COVE.A,20170111,58,49,4.94444444444
ORANGE_COVE.A,20170112,53,42,1.61111111111
ORANGE_COVE.A,20170113,44,34,-3.11111111111
ORANGE_COVE.A,20170114,45,39,-1.44444444444
ORANGE_COVE.A,20170115,46,43,-0.0555555555556
ORANGE_COVE.A,20170116,50,33,-1.72222222222
ORANGE_COVE.A,20170117,58,30,-0.333333333333
ORANGE_COVE.A,20170118,59,37,1.88888888889
ORANGE_COVE.A,20170119,58,46,4.11111111111
ORANGE_COVE.A,20170120,53,43,1.88888888889
ORANGE_COVE.A,20170121,55,41,1.88888888889
ORANGE_COVE.A,20170122,59,47,4.66666666667
ORANGE_COVE.A,20170123,52,37,-0.0555555555556
ORANGE_COVE.A,20170124,54,33,-0.611111111111
ORANGE_COVE.A,20170125,52,30,-2.0
ORANGE_COVE.A,20170126,54,32,-0.888888888889
ORANGE_COVE.A,20170127,57,32,-0.0555555555556
ORANGE_COVE.A,20170128,61,30,0.5
ORANGE_COVE.A,20170129,62,31,1.05555555556
ORANGE_COVE.A,20170130,63,34,2.16666666667
ORANGE_COVE.A,20170131,68,35,3.83333333333
ORANGE_COVE.A,20170201,68,39,4.94444444444
ORANGE_COVE.A,20170202,67,48,7.16666666667
ORANGE_COVE.A,20170203,66,51,7.72222222222
ORANGE_COVE.A,20170204,64,43,4.94444444444
ORANGE_COVE.A,20170205,60,42,3.55555555556
ORANGE_COVE.A,20170206,58,51,5.5
ORANGE_COVE.A,20170207,61,52,6.61111111111
ORANGE_COVE.A,20170208,70,57,10.5
ORANGE_COVE.A,20170209,64,57,8.83333333333
ORANGE_COVE.A,20170210,60,53,6.61111111111
ORANGE_COVE.A,20170211,56,44,3.0
ORANGE_COVE.A,20170212,61,43,4.11111111111
ORANGE_COVE.A,20170213,65,40,4.38888888889
ORANGE_COVE.A,20170214,69,40,5.5
ORANGE_COVE.A,20170215,77,43,8.55555555556
ORANGE_COVE.A,20170216,61,47,5.22222222222
ORANGE_COVE.A,20170217,59,51,5.77777777778
ORANGE_COVE.A,20170218,66,48,6.88888888889
ORANGE_COVE.A,20170219,59,47,4.66666666667
ORANGE_COVE.A,20170220,60,50,5.77777777778
ORANGE_COVE.A,20170221,67,50,7.72222222222
ORANGE_COVE.A,20170222,56,44,3.0
ORANGE_COVE.A,20170223,54,32,-0.888888888889
ORANGE_COVE.A,20170224,56,29,-1.16666666667
ORANGE_COVE.A,20170225,56,31,-0.611111111111
ORANGE_COVE.A,20170226,58,31,-0.0555555555556
ORANGE_COVE.A,20170227,59,38,2.16666666667
ORANGE_COVE.A,20170228,59,30,-0.0555555555556
ORANGE_COVE.A,20170301,63,32,1.61111111111
ORANGE_COVE.A,20170302,68,35,3.83333333333
ORANGE_COVE.A,20170303,71,36,4.94444444444
ORANGE_COVE.A,20170304,69,39,5.22222222222
ORANGE_COVE.A,20170305,53,34,-0.611111111111
ORANGE_COVE.A,20170306,58,32,0.222222222222
ORANGE_COVE.A,20170307,62,31,1.05555555556
ORANGE_COVE.A,20170308,66,35,3.27777777778
ORANGE_COVE.A,20170309,71,39,5.77777777778
ORANGE_COVE.A,20170310,70,46,7.44444444444
ORANGE_COVE.A,20170311,74,45,8.27777777778
ORANGE_COVE.A,20170312,76,47,9.38888888889
ORANGE_COVE.A,20170313,80,47,10.5
ORANGE_COVE.A,20170314,86,50,13.0
ORANGE_COVE.A,20170315,86,53,13.8333333333
ORANGE_COVE.A,20170316,76,46,9.11111111111
ORANGE_COVE.A,20170317,78,49,10.5
ORANGE_COVE.A,20170318,81,50,11.6111111111
ORANGE_COVE.A,20170319,75,48,9.38888888889
ORANGE_COVE.A,20170320,70,55,9.94444444444
ORANGE_COVE.A,20170321,72,52,9.66666666667
ORANGE_COVE.A,20170322,69,43,6.33333333333
ORANGE_COVE.A,20170323,67,43,5.77777777778
ORANGE_COVE.A,20170324,66,44,5.77777777778
ORANGE_COVE.A,20170325,64,49,6.61111111111
ORANGE_COVE.A,20170326,68,43,6.05555555556
ORANGE_COVE.A,20170327,66,46,6.33333333333
ORANGE_COVE.A,20170328,69,44,6.61111111111
ORANGE_COVE.A,20170329,72,42,6.88888888889
ORANGE_COVE.A,20170330,72,43,7.16666666667
ORANGE_COVE.A,20170331,83,31,6.88888888889
ORANGE_COVE.A,20170401,95,36,11.6111111111
ORANGE_COVE.A,20170402,97,40,13.2777777778
ORANGE_COVE.A,20170403,92,41,12.1666666667
ORANGE_COVE.A,20170404,94,37,11.6111111111
ORANGE_COVE.A,20170405,98,44,14.6666666667
ORANGE_COVE.A,20170406,87,51,13.5555555556
ORANGE_COVE.A,20170407,58,51,5.5
ORANGE_COVE.A,20170408,77,35,6.33333333333
ORANGE_COVE.A,20170409,81,30,6.05555555556
ORANGE_COVE.A,20170410,86,33,8.27777777778
ORANGE_COVE.A,20170411,91,41,11.8888888889
ORANGE_COVE.A,20170412,93,41,12.4444444444
ORANGE_COVE.A,20170413,80,46,10.2222222222
ORANGE_COVE.A,20170414,86,34,8.55555555556
ORANGE_COVE.A,20170415,87,34,8.83333333333
ORANGE_COVE.A,20170416,96,41,13.2777777778
ORANGE_COVE.A,20170417,91,53,15.2222222222
ORANGE_COVE.A,20170418,74,49,9.38888888889
ORANGE_COVE.A,20170419,90,45,12.7222222222
ORANGE_COVE.A,20170420,88,40,10.7777777778
ORANGE_COVE.A,20170421,91,39,11.3333333333
ORANGE_COVE.A,20170422,97,44,14.3888888889
ORANGE_COVE.A,20170423,93,46,13.8333333333
ORANGE_COVE.A,20170424,87,41,10.7777777778
ORANGE_COVE.A,20170425,85,49,12.4444444444
ORANGE_COVE.A,20170426,92,43,12.7222222222
ORANGE_COVE.A,20170427,85,47,11.8888888889
ORANGE_COVE.A,20170428,88,35,9.38888888889
ORANGE_COVE.A,20170429,95,38,12.1666666667
ORANGE_COVE.A,20170430,98,42,14.1111111111
ORANGE_COVE.A,20170501,100,45,15.5
ORANGE_COVE.A,20170502,105,52,18.8333333333
ORANGE_COVE.A,20170503,111,55,21.3333333333
ORANGE_COVE.A,20170504,111,57,21.8888888889
ORANGE_COVE.A,20170505,98,54,17.4444444444
ORANGE_COVE.A,20170506,82,51,12.1666666667
ORANGE_COVE.A,20170507,84,47,11.6111111111
ORANGE_COVE.A,20170508,95,47,14.6666666667
ORANGE_COVE.A,20170509,86,59,15.5
ORANGE_COVE.A,20170510,84,56,14.1111111111
ORANGE_COVE.A,20170511,82,52,12.4444444444
ORANGE_COVE.A,20170512,66,53,8.27777777778
ORANGE_COVE.A,20170513,72,44,7.44444444444
ORANGE_COVE.A,20170514,73,39,6.33333333333
ORANGE_COVE.A,20170515,70,45,7.16666666667
ORANGE_COVE.A,20170516,74,51,9.94444444444
ORANGE_COVE.A,20170517,76,51,10.5
ORANGE_COVE.A,20170518,81,45,10.2222222222
ORANGE_COVE.A,20170519,89,48,13.2777777778
ORANGE_COVE.A,20170520,94,55,16.6111111111
ORANGE_COVE.A,20170521,96,56,17.4444444444
ORANGE_COVE.A,20170522,100,58,19.1111111111
ORANGE_COVE.A,20170523,101,59,19.6666666667
ORANGE_COVE.A,20170524,94,63,18.8333333333
ORANGE_COVE.A,20170525,82,54,13.0
ORANGE_COVE.A,20170526,72,50,9.11111111111
ORANGE_COVE.A,20170527,83,48,11.6111111111
ORANGE_COVE.A,20170528,92,52,15.2222222222
ORANGE_COVE.A,20170529,93,58,17.1666666667
ORANGE_COVE.A,20170530,90,60,16.8888888889
ORANGE_COVE.A,20170531,76,57,12.1666666667
ORANGE_COVE.A,20170601,86,54,14.1111111111
ORANGE_COVE.A,20170602,93,57,16.8888888889
ORANGE_COVE.A,20170603,97,61,19.1111111111
ORANGE_COVE.A,20170604,96,60,18.5555555556
ORANGE_COVE.A,20170605,94,53,16.0555555556
ORANGE_COVE.A,20170606,97,54,17.1666666667
ORANGE_COVE.A,20170607,96,53,16.6111111111
ORANGE_COVE.A,20170608,87,55,14.6666666667
ORANGE_COVE.A,20170609,85,61,15.7777777778
ORANGE_COVE.A,20170610,79,53,11.8888888889
ORANGE_COVE.A,20170611,72,48,8.55555555556
ORANGE_COVE.A,20170612,75,43,8.0
ORANGE_COVE.A,20170613,82,48,11.3333333333
ORANGE_COVE.A,20170614,91,53,15.2222222222
ORANGE_COVE.A,20170615,94,57,17.1666666667
ORANGE_COVE.A,20170616,96,59,18.2777777778
ORANGE_COVE.A,20170617,100,65,21.0555555556
ORANGE_COVE.A,20170618,106,68,23.5555555556
ORANGE_COVE.A,20170619,108,74,25.7777777778
ORANGE_COVE.A,20170620,109,73,25.7777777778
ORANGE_COVE.A,20170621,107,71,24.6666666667
ORANGE_COVE.A,20170622,109,70,24.9444444444
ORANGE_COVE.A,20170623,107,73,25.2222222222
ORANGE_COVE.A,20170624,103,69,23.0
ORANGE_COVE.A,20170625,104,72,24.1111111111
ORANGE_COVE.A,20170626,99,66,21.0555555556
ORANGE_COVE.A,20170627,95,61,18.5555555556
ORANGE_COVE.A,20170628,95,57,17.4444444444
ORANGE_COVE.A,20170629,98,70,21.8888888889
ORANGE_COVE.A,20170630,93,59,17.4444444444
ORANGE_COVE.A,20170701,95,58,17.7222222222
ORANGE_COVE.A,20170702,95,60,18.2777777778
ORANGE_COVE.A,20170703,96,60,18.5555555556
ORANGE_COVE.A,20170704,96,59,18.2777777778
ORANGE_COVE.A,20170705,95,59,18.0
ORANGE_COVE.A,20170706,96,60,18.5555555556
ORANGE_COVE.A,20170707,96,60,18.5555555556
ORANGE_COVE.A,20170708,97,60,18.8333333333
ORANGE_COVE.A,20170709,97,61,19.1111111111
ORANGE_COVE.A,20170710,98,61,19.3888888889
ORANGE_COVE.A,20170711,98,61,19.3888888889
ORANGE_COVE.A,20170712,98,63,19.9444444444
ORANGE_COVE.A,20170713,99,64,20.5
ORANGE_COVE.A,20170714,100,64,20.7777777778
ORANGE_COVE.A,20170715,100,64,20.7777777778
ORANGE_COVE.A,20170716,99,65,20.7777777778
ORANGE_COVE.A,20170717,97,64,19.9444444444
ORANGE_COVE.A,20170718,98,64,20.2222222222
ORANGE_COVE.A,20170719,98,63,19.9444444444
ORANGE_COVE.A,20170720,97,63,19.6666666667
ORANGE_COVE.A,20170721,98,62,19.6666666667
ORANGE_COVE.A,20170722,99,62,19.9444444444
ORANGE_COVE.A,20170723,99,63,20.2222222222
ORANGE_COVE.A,20170724,99,64,20.5
ORANGE_COVE.A,20170725,98,63,19.9444444444
ORANGE_COVE.A,20170726,98,64,20.2222222222
ORANGE_COVE.A,20170727,99,63,20.2222222222
ORANGE_COVE.A,20170728,100,64,20.7777777778
ORANGE_COVE.A,20170729,99,63,20.2222222222
ORANGE_COVE.A,20170730,97,64,19.9444444444
ORANGE_COVE.A,20170731,98,63,19.9444444444
ORANGE_COVE.A,20170801,99,62,19.9444444444
ORANGE_COVE.A,20170802,99,63,20.2222222222
ORANGE_COVE.A,20170803,99,63,20.2222222222
ORANGE_COVE.A,20170804,99,63,20.2222222222
ORANGE_COVE.A,20170805,99,63,20.2222222222
ORANGE_COVE.A,20170806,99,63,20.2222222222
ORANGE_COVE.A,20170807,99,64,20.5
ORANGE_COVE.A,20170808,99,64,20.5
ORANGE_COVE.A,20170809,99,63,20.2222222222
ORANGE_COVE.A,20170810,100,65,21.0555555556
ORANGE_COVE.A,20170811,99,64,20.5
ORANGE_COVE.A,20170812,98,63,19.9444444444
ORANGE_COVE.A,20170813,96,61,18.8333333333
ORANGE_COVE.A,20170814,95,61,18.5555555556
ORANGE_COVE.A,20170815,95,61,18.5555555556
ORANGE_COVE.A,20170816,96,62,19.1111111111
ORANGE_COVE.A,20170817,96,61,18.8333333333
ORANGE_COVE.A,20170818,94,62,18.5555555556
ORANGE_COVE.A,20170819,94,60,18.0
ORANGE_COVE.A,20170820,93,60,17.7222222222
ORANGE_COVE.A,20170821,94,59,17.7222222222
ORANGE_COVE.A,20170822,94,59,17.7222222222
ORANGE_COVE.A,20170823,94,59,17.7222222222
ORANGE_COVE.A,20170824,94,59,17.7222222222
ORANGE_COVE.A,20170825,94,59,17.7222222222
ORANGE_COVE.A,20170826,94,58,17.4444444444
ORANGE_COVE.A,20170827,94,58,17.4444444444
ORANGE_COVE.A,20170828,95,59,18.0
ORANGE_COVE.A,20170829,95,59,18.0
ORANGE_COVE.A,20170830,94,59,17.7222222222
ORANGE_COVE.A,20170831,93,59,17.4444444444
ORANGE_COVE.A,20170901,94,60,18.0
ORANGE_COVE.A,20170902,95,59,18.0
ORANGE_COVE.A,20170903,96,60,18.5555555556
ORANGE_COVE.A,20170904,94,60,18.0
ORANGE_COVE.A,20170905,94,60,18.0
ORANGE_COVE.A,20170906,93,60,17.7222222222
ORANGE_COVE.A,20170907,94,59,17.7222222222
ORANGE_COVE.A,20170908,93,58,17.1666666667
ORANGE_COVE.A,20170909,93,59,17.4444444444
ORANGE_COVE.A,20170910,92,59,17.1666666667
ORANGE_COVE.A,20170911,93,58,17.1666666667
ORANGE_COVE.A,20170912,92,58,16.8888888889
ORANGE_COVE.A,20170913,91,56,16.0555555556
ORANGE_COVE.A,20170914,90,55,15.5
ORANGE_COVE.A,20170915,89,56,15.5
ORANGE_COVE.A,20170916,90,57,16.0555555556
ORANGE_COVE.A,20170917,89,56,15.5
ORANGE_COVE.A,20170918,86,57,14.9444444444
ORANGE_COVE.A,20170919,86,55,14.3888888889
ORANGE_COVE.A,20170920,88,54,14.6666666667
ORANGE_COVE.A,20170921,87,55,14.6666666667
ORANGE_COVE.A,20170922,89,54,14.9444444444
ORANGE_COVE.A,20170923,89,54,14.9444444444
ORANGE_COVE.A,20170924,89,55,15.2222222222
ORANGE_COVE.A,20170925,89,56,15.5
ORANGE_COVE.A,20170926,89,55,15.2222222222
ORANGE_COVE.A,20170927,88,55,14.9444444444
ORANGE_COVE.A,20170928,87,54,14.3888888889
ORANGE_COVE.A,20170929,87,56,14.9444444444
ORANGE_COVE.A,20170930,87,55,14.6666666667
ORANGE_COVE.A,20171001,87,53,14.1111111111
ORANGE_COVE.A,20171002,87,54,14.3888888889
ORANGE_COVE.A,20171003,85,53,13.5555555556
ORANGE_COVE.A,20171004,87,53,14.1111111111
ORANGE_COVE.A,20171005,85,51,13.0
ORANGE_COVE.A,20171006,86,51,13.2777777778
ORANGE_COVE.A,20171007,83,51,12.4444444444
ORANGE_COVE.A,20171008,82,51,12.1666666667
ORANGE_COVE.A,20171009,83,50,12.1666666667
ORANGE_COVE.A,20171010,84,51,12.7222222222
ORANGE_COVE.A,20171011,82,51,12.1666666667
ORANGE_COVE.A,20171012,82,50,11.8888888889
ORANGE_COVE.A,20171013,82,51,12.1666666667
ORANGE_COVE.A,20171014,81,50,11.6111111111
ORANGE_COVE.A,20171015,79,49,10.7777777778
ORANGE_COVE.A,20171016,80,48,10.7777777778
ORANGE_COVE.A,20171017,80,49,11.0555555556
ORANGE_COVE.A,20171018,80,48,10.7777777778
ORANGE_COVE.A,20171019,80,49,11.0555555556
ORANGE_COVE.A,20171020,80,49,11.0555555556
ORANGE_COVE.A,20171021,77,47,9.66666666667
ORANGE_COVE.A,20171022,78,47,9.94444444444
ORANGE_COVE.A,20171023,77,47,9.66666666667
ORANGE_COVE.A,20171024,78,47,9.94444444444
ORANGE_COVE.A,20171025,77,47,9.66666666667
ORANGE_COVE.A,20171026,75,47,9.11111111111
ORANGE_COVE.A,20171027,74,46,8.55555555556
ORANGE_COVE.A,20171028,74,46,8.55555555556
ORANGE_COVE.A,20171029,72,44,7.44444444444
ORANGE_COVE.A,20171030,72,44,7.44444444444
ORANGE_COVE.A,20171031,73,44,7.72222222222
ORANGE_COVE.A,20171101,73,44,7.72222222222
ORANGE_COVE.A,20171102,73,43,7.44444444444
ORANGE_COVE.A,20171103,74,43,7.72222222222
ORANGE_COVE.A,20171104,74,43,7.72222222222
ORANGE_COVE.A,20171105,73,43,7.44444444444
ORANGE_COVE.A,20171106,71,45,7.44444444444
ORANGE_COVE.A,20171107,72,43,7.16666666667
ORANGE_COVE.A,20171108,70,44,6.88888888889
ORANGE_COVE.A,20171109,70,43,6.61111111111
ORANGE_COVE.A,20171110,69,42,6.05555555556
ORANGE_COVE.A,20171111,68,43,6.05555555556
ORANGE_COVE.A,20171112,68,43,6.05555555556
ORANGE_COVE.A,20171113,67,42,5.5
ORANGE_COVE.A,20171114,66,43,5.5
ORANGE_COVE.A,20171115,65,41,4.66666666667
ORANGE_COVE.A,20171116,63,42,4.38888888889
ORANGE_COVE.A,20171117,63,42,4.38888888889
ORANGE_COVE.A,20171118,63,39,3.55555555556
ORANGE_COVE.A,20171119,64,39,3.83333333333
ORANGE_COVE.A,20171120,63,39,3.55555555556
ORANGE_COVE.A,20171121,61,39,3.0
ORANGE_COVE.A,20171122,62,39,3.27777777778
ORANGE_COVE.A,20171123,61,39,3.0
ORANGE_COVE.A,20171124,61,39,3.0
ORANGE_COVE.A,20171125,60,38,2.44444444444
ORANGE_COVE.A,20171126,60,38,2.44444444444
ORANGE_COVE.A,20171127,60,37,2.16666666667
ORANGE_COVE.A,20171128,60,38,2.44444444444
ORANGE_COVE.A,20171129,60,37,2.16666666667
ORANGE_COVE.A,20171130,60,36,1.88888888889
ORANGE_COVE.A,20171201,59,37,1.88888888889
ORANGE_COVE.A,20171202,60,38,2.44444444444
ORANGE_COVE.A,20171203,60,37,2.16666666667
ORANGE_COVE.A,20171204,60,38,2.44444444444
ORANGE_COVE.A,20171205,57,38,1.61111111111
ORANGE_COVE.A,20171206,56,37,1.05555555556
ORANGE_COVE.A,20171207,56,37,1.05555555556
ORANGE_COVE.A,20171208,55,35,0.222222222222
ORANGE_COVE.A,20171209,56,35,0.5
ORANGE_COVE.A,20171210,54,35,-0.0555555555556
ORANGE_COVE.A,20171211,53,36,-0.0555555555556
ORANGE_COVE.A,20171212,54,35,-0.0555555555556
ORANGE_COVE.A,20171213,53,34,-0.611111111111
ORANGE_COVE.A,20171214,54,34,-0.333333333333
ORANGE_COVE.A,20171215,55,35,0.222222222222
ORANGE_COVE.A,20171216,57,34,0.5
ORANGE_COVE.A,20171217,55,34,-0.0555555555556
ORANGE_COVE.A,20171218,56,35,0.5
ORANGE_COVE.A,20171219,56,37,1.05555555556
ORANGE_COVE.A,20171220,55,36,0.5
ORANGE_COVE.A,20171221,53,36,-0.0555555555556
ORANGE_COVE.A,20171222,52,37,-0.0555555555556
ORANGE_COVE.A,20171223,52,36,-0.333333333333
ORANGE_COVE.A,20171224,51,36,-0.611111111111
ORANGE_COVE.A,20171225,52,36,-0.333333333333
ORANGE_COVE.A,20171226,53,34,-0.611111111111
ORANGE_COVE.A,20171227,53,34,-0.611111111111
ORANGE_COVE.A,20171228,52,35,-0.611111111111
ORANGE_COVE.A,20171229,52,35,-0.611111111111
ORANGE_COVE.A,20171230,52,35,-0.611111111111
ORANGE_COVE.A,20171231,51,34,-1.16666666667
