Station,Date,Air max,Air min,heat unit
KERMAN-01.P,20170101,54,35,-0.0555555555556
KERMAN-01.P,20170102,52,39,0.5
KERMAN-01.P,20170103,58,43,3.27777777778
KERMAN-01.P,20170104,56,50,4.66666666667
KERMAN-01.P,20170105,55,34,-0.0555555555556
KERMAN-01.P,20170106,53,28,-2.27777777778
KERMAN-01.P,20170107,58,45,3.83333333333
KERMAN-01.P,20170108,72,56,10.7777777778
KERMAN-01.P,20170109,60,53,6.61111111111
KERMAN-01.P,20170110, , ,
KERMAN-01.P,20170111,59,47,4.66666666667
KERMAN-01.P,20170112,53,43,1.88888888889
KERMAN-01.P,20170113,51,39,0.222222222222
KERMAN-01.P,20170114,50,39,-0.0555555555556
KERMAN-01.P,20170115,47,41,-0.333333333333
KERMAN-01.P,20170116,50,35,-1.16666666667
KERMAN-01.P,20170117,55,30,-1.16666666667
KERMAN-01.P,20170118,51,36,-0.611111111111
KERMAN-01.P,20170119,60,46,4.66666666667
KERMAN-01.P,20170120,56,43,2.72222222222
KERMAN-01.P,20170121,56,40,1.88888888889
KERMAN-01.P,20170122,55,46,3.27777777778
KERMAN-01.P,20170123,54,39,1.05555555556
KERMAN-01.P,20170124,53,33,-0.888888888889
KERMAN-01.P,20170125,54,31,-1.16666666667
KERMAN-01.P,20170126,54,31,-1.16666666667
KERMAN-01.P,20170127,59,32,0.5
KERMAN-01.P,20170128,59,30,-0.0555555555556
KERMAN-01.P,20170129,59,30,-0.0555555555556
KERMAN-01.P,20170130,63,31,1.33333333333
KERMAN-01.P,20170131,64,35,2.72222222222
KERMAN-01.P,20170201,66,38,4.11111111111
KERMAN-01.P,20170202,61,51,6.33333333333
KERMAN-01.P,20170203,67,49,7.44444444444
KERMAN-01.P,20170204,65,42,4.94444444444
KERMAN-01.P,20170205,60,43,3.83333333333
KERMAN-01.P,20170206,58,52,5.77777777778
KERMAN-01.P,20170207,67,53,8.55555555556
KERMAN-01.P,20170208,68,59,10.5
KERMAN-01.P,20170209,62,57,8.27777777778
KERMAN-01.P,20170210,61,53,6.88888888889
KERMAN-01.P,20170211,55,46,3.27777777778
KERMAN-01.P,20170212,61,40,3.27777777778
KERMAN-01.P,20170213,63,38,3.27777777778
KERMAN-01.P,20170214,67,42,5.5
KERMAN-01.P,20170215,71,47,8.0
KERMAN-01.P,20170216,61,52,6.61111111111
KERMAN-01.P,20170217,55,51,4.66666666667
KERMAN-01.P,20170218,66,49,7.16666666667
KERMAN-01.P,20170219,57,45,3.55555555556
KERMAN-01.P,20170220,65,51,7.44444444444
KERMAN-01.P,20170221,69,50,8.27777777778
KERMAN-01.P,20170222,56,42,2.44444444444
KERMAN-01.P,20170223,54,35,-0.0555555555556
KERMAN-01.P,20170224,57,30,-0.611111111111
KERMAN-01.P,20170225,58,31,-0.0555555555556
KERMAN-01.P,20170226,59,33,0.777777777778
KERMAN-01.P,20170227,57,39,1.88888888889
KERMAN-01.P,20170228,59,35,1.33333333333
KERMAN-01.P,20170301,63,32,1.61111111111
KERMAN-01.P,20170302,67,34,3.27777777778
KERMAN-01.P,20170303,70,34,4.11111111111
KERMAN-01.P,20170304,68,40,5.22222222222
KERMAN-01.P,20170305,54,36,0.222222222222
KERMAN-01.P,20170306,59,31,0.222222222222
