Station,Date,Air max,min,heat unit
MERCED.C,20170101,52,30,-2.0
MERCED.C,20170102,51,31,-2.0
MERCED.C,20170103,59,43,3.55555555556
MERCED.C,20170104,56,48,4.11111111111
MERCED.C,20170105,52,28,-2.55555555556
MERCED.C,20170106,52,24,-3.66666666667
MERCED.C,20170107,58,43,3.27777777778
MERCED.C,20170108,67,56,9.38888888889
MERCED.C,20170109,62,50,6.33333333333
MERCED.C,20170110,53,50,3.83333333333
MERCED.C,20170111,63,47,5.77777777778
MERCED.C,20170112,54,35,-0.0555555555556
MERCED.C,20170113,48,35,-1.72222222222
MERCED.C,20170114,44,31,-3.94444444444
MERCED.C,20170115,45,35,-2.55555555556
MERCED.C,20170116,51,32,-1.72222222222
MERCED.C,20170117,56,28,-1.44444444444
MERCED.C,20170118,48,35,-1.72222222222
MERCED.C,20170119,59,41,3.0
MERCED.C,20170120,58,40,2.44444444444
MERCED.C,20170121,55,39,1.33333333333
MERCED.C,20170122,53,44,2.16666666667
MERCED.C,20170123,53,33,-0.888888888889
MERCED.C,20170124,53,30,-1.72222222222
MERCED.C,20170125,56,28,-1.44444444444
MERCED.C,20170126,57,30,-0.611111111111
MERCED.C,20170127,57,27,-1.44444444444
MERCED.C,20170128,60,27,-0.611111111111
MERCED.C,20170129,61,27,-0.333333333333
MERCED.C,20170130,62,29,0.5
MERCED.C,20170131,65,29,1.33333333333
MERCED.C,20170201,69,38,4.94444444444
MERCED.C,20170202,63,48,6.05555555556
MERCED.C,20170203,66,50,7.44444444444
MERCED.C,20170204,66,41,4.94444444444
MERCED.C,20170205,60,40,3.0
MERCED.C,20170206,58,51,5.5
MERCED.C,20170207,59,51,5.77777777778
MERCED.C,20170208,64,56,8.55555555556
MERCED.C,20170209,61,53,6.88888888889
MERCED.C,20170210,59,47,4.66666666667
MERCED.C,20170211,57,38,1.61111111111
MERCED.C,20170212,62,34,1.88888888889
MERCED.C,20170213,63,34,2.16666666667
MERCED.C,20170214,67,39,4.66666666667
MERCED.C,20170215,67,40,4.94444444444
MERCED.C,20170216,63,49,6.33333333333
MERCED.C,20170217,56,49,4.38888888889
MERCED.C,20170218,68,47,7.16666666667
MERCED.C,20170219,58,40,2.44444444444
MERCED.C,20170220,66,49,7.16666666667
MERCED.C,20170221,66,46,6.33333333333
MERCED.C,20170222,57,35,0.777777777778
MERCED.C,20170223,54,31,-1.16666666667
MERCED.C,20170224,57,26,-1.72222222222
MERCED.C,20170225,60,28,-0.333333333333
MERCED.C,20170226,60,29,-0.0555555555556
MERCED.C,20170227,58,35,1.05555555556
MERCED.C,20170228,60,33,1.05555555556
MERCED.C,20170301,64,28,0.777777777778
MERCED.C,20170302,69,29,2.44444444444
MERCED.C,20170303,70,32,3.55555555556
MERCED.C,20170304,67,38,4.38888888889
MERCED.C,20170305,55,33,-0.333333333333
MERCED.C,20170306,59,28,-0.611111111111
MERCED.C,20170307,63,30,1.05555555556
MERCED.C,20170308,67,33,3.0
MERCED.C,20170309,72,38,5.77777777778
MERCED.C,20170310,71,44,7.16666666667
MERCED.C,20170311,76,42,8.0
MERCED.C,20170312,77,43,8.55555555556
MERCED.C,20170313,81,40,8.83333333333
MERCED.C,20170314,85,44,11.0555555556
MERCED.C,20170315,87,55,14.6666666667
MERCED.C,20170316,75,49,9.66666666667
MERCED.C,20170317,80,42,9.11111111111
MERCED.C,20170318,77,47,9.66666666667
MERCED.C,20170319,73,47,8.55555555556
