Station,Date,Air max,min,heat unit
LOST_HILLS.A,20170101,56,33,-0.0555555555556
LOST_HILLS.A,20170102,54,43,2.16666666667
LOST_HILLS.A,20170103,61,40,3.27777777778
LOST_HILLS.A,20170104,61,48,5.5
LOST_HILLS.A,20170105,57,45,3.55555555556
LOST_HILLS.A,20170106,56,34,0.222222222222
LOST_HILLS.A,20170107,57,45,3.55555555556
LOST_HILLS.A,20170108,78,50,10.7777777778
LOST_HILLS.A,20170109,64,51,7.16666666667
LOST_HILLS.A,20170110,65,50,7.16666666667
LOST_HILLS.A,20170111,65,52,7.72222222222
LOST_HILLS.A,20170112,60,43,3.83333333333
LOST_HILLS.A,20170113,51,36,-0.611111111111
LOST_HILLS.A,20170114,48,36,-1.44444444444
LOST_HILLS.A,20170115,47,41,-0.333333333333
LOST_HILLS.A,20170116,53,32,-1.16666666667
LOST_HILLS.A,20170117,59,30,-0.0555555555556
LOST_HILLS.A,20170118,59,36,1.61111111111
LOST_HILLS.A,20170119,62,43,4.38888888889
LOST_HILLS.A,20170120,54,46,3.0
LOST_HILLS.A,20170121,61,42,3.83333333333
LOST_HILLS.A,20170122,61,47,5.22222222222
LOST_HILLS.A,20170123,54,39,1.05555555556
LOST_HILLS.A,20170124,56,33,-0.0555555555556
LOST_HILLS.A,20170125,57,34,0.5
LOST_HILLS.A,20170126,56,31,-0.611111111111
LOST_HILLS.A,20170127,60,34,1.33333333333
LOST_HILLS.A,20170128,62,31,1.05555555556
LOST_HILLS.A,20170129,60,38,2.44444444444
LOST_HILLS.A,20170130,68,35,3.83333333333
LOST_HILLS.A,20170131,71,36,4.94444444444
LOST_HILLS.A,20170201,71,40,6.05555555556
LOST_HILLS.A,20170202,71,45,7.44444444444
LOST_HILLS.A,20170203,71,51,9.11111111111
LOST_HILLS.A,20170204,69,43,6.33333333333
LOST_HILLS.A,20170205,64,42,4.66666666667
LOST_HILLS.A,20170206,65,56,8.83333333333
LOST_HILLS.A,20170207,72,55,10.5
LOST_HILLS.A,20170208,77,55,11.8888888889
LOST_HILLS.A,20170209,76,57,12.1666666667
LOST_HILLS.A,20170210,62,54,7.44444444444
LOST_HILLS.A,20170211,57,45,3.55555555556
LOST_HILLS.A,20170212,63,39,3.55555555556
LOST_HILLS.A,20170213,68,40,5.22222222222
LOST_HILLS.A,20170214,69,47,7.44444444444
LOST_HILLS.A,20170215,77,44,8.83333333333
LOST_HILLS.A,20170216,58,48,4.66666666667
LOST_HILLS.A,20170217,60,50,5.77777777778
LOST_HILLS.A,20170218,65,46,6.05555555556
LOST_HILLS.A,20170219,61,46,4.94444444444
LOST_HILLS.A,20170220,71,52,9.38888888889
LOST_HILLS.A,20170221,69,53,9.11111111111
LOST_HILLS.A,20170222,60,44,4.11111111111
LOST_HILLS.A,20170223,54,35,-0.0555555555556
LOST_HILLS.A,20170224,58,33,0.5
LOST_HILLS.A,20170225,55,31,-0.888888888889
LOST_HILLS.A,20170226,58,40,2.44444444444
LOST_HILLS.A,20170227,60,43,3.83333333333
LOST_HILLS.A,20170228,64,39,3.83333333333
LOST_HILLS.A,20170301,62,37,2.72222222222
LOST_HILLS.A,20170302,66,38,4.11111111111
LOST_HILLS.A,20170303,72,39,6.05555555556
LOST_HILLS.A,20170304,70,41,6.05555555556
LOST_HILLS.A,20170305,61,39,3.0
LOST_HILLS.A,20170306,59,35,1.33333333333
LOST_HILLS.A,20170307,62,35,2.16666666667
LOST_HILLS.A,20170308,69,40,5.5
LOST_HILLS.A,20170309,73,42,7.16666666667
LOST_HILLS.A,20170310,72,48,8.55555555556
LOST_HILLS.A,20170311,75,48,9.38888888889
LOST_HILLS.A,20170312,77,51,10.7777777778
LOST_HILLS.A,20170313,80,51,11.6111111111
LOST_HILLS.A,20170314,86,49,12.7222222222
LOST_HILLS.A,20170315,90,52,14.6666666667
LOST_HILLS.A,20170316,76,50,10.2222222222
LOST_HILLS.A,20170317,83,53,13.0
LOST_HILLS.A,20170318,86,53,13.8333333333
LOST_HILLS.A,20170319,81,50,11.6111111111
LOST_HILLS.A,20170320,74,52,10.2222222222
LOST_HILLS.A,20170321,73,55,10.7777777778
LOST_HILLS.A,20170322,67,48,7.16666666667
LOST_HILLS.A,20170323,63,44,4.94444444444
LOST_HILLS.A,20170324,76,41,7.72222222222
LOST_HILLS.A,20170325,63,50,6.61111111111
LOST_HILLS.A,20170326,69,49,8.0
LOST_HILLS.A,20170327,69,48,7.72222222222
LOST_HILLS.A,20170328,70,43,6.61111111111
LOST_HILLS.A,20170329,77,45,9.11111111111
LOST_HILLS.A,20170330,75,44,8.27777777778
LOST_HILLS.A,20170331,68,43,6.05555555556
LOST_HILLS.A,20170401,77,40,7.72222222222
LOST_HILLS.A,20170402,83,46,11.0555555556
LOST_HILLS.A,20170403,79,51,11.3333333333
LOST_HILLS.A,20170404,83,43,10.2222222222
LOST_HILLS.A,20170405,87,50,13.2777777778
LOST_HILLS.A,20170406,74,55,11.0555555556
LOST_HILLS.A,20170407,73,58,11.6111111111
LOST_HILLS.A,20170408,67,43,5.77777777778
LOST_HILLS.A,20170409,68,40,5.22222222222
LOST_HILLS.A,20170410,73,43,7.44444444444
LOST_HILLS.A,20170411,79,43,9.11111111111
LOST_HILLS.A,20170412,80,45,9.94444444444
LOST_HILLS.A,20170413,70,50,8.55555555556
LOST_HILLS.A,20170414,67,43,5.77777777778
LOST_HILLS.A,20170415,77,41,8.0
LOST_HILLS.A,20170416,86,48,12.4444444444
LOST_HILLS.A,20170417,80,57,13.2777777778
LOST_HILLS.A,20170418,63,54,7.72222222222
LOST_HILLS.A,20170419,76,53,11.0555555556
LOST_HILLS.A,20170420,75,48,9.38888888889
LOST_HILLS.A,20170421,84,45,11.0555555556
LOST_HILLS.A,20170422,85,50,12.7222222222
LOST_HILLS.A,20170423,79,51,11.3333333333
LOST_HILLS.A,20170424,74,47,8.83333333333
LOST_HILLS.A,20170425,73,46,8.27777777778
LOST_HILLS.A,20170426,79,58,13.2777777778
LOST_HILLS.A,20170427,78,51,11.0555555556
LOST_HILLS.A,20170428,77,47,9.66666666667
LOST_HILLS.A,20170429,82,44,10.2222222222
LOST_HILLS.A,20170430,85,49,12.4444444444
LOST_HILLS.A,20170501,89,52,14.3888888889
LOST_HILLS.A,20170502,90,56,15.7777777778
LOST_HILLS.A,20170503,99,61,19.6666666667
LOST_HILLS.A,20170504,95,63,19.1111111111
LOST_HILLS.A,20170505,88,55,14.9444444444
LOST_HILLS.A,20170506,67,51,8.0
LOST_HILLS.A,20170507,73,50,9.38888888889
LOST_HILLS.A,20170508,82,51,12.1666666667
LOST_HILLS.A,20170509,88,54,14.6666666667
LOST_HILLS.A,20170510,79,54,12.1666666667
LOST_HILLS.A,20170511,85,52,13.2777777778
LOST_HILLS.A,20170512,69,47,7.44444444444
LOST_HILLS.A,20170513,74,41,7.16666666667
LOST_HILLS.A,20170514,78,43,8.83333333333
LOST_HILLS.A,20170515,75,50,9.94444444444
LOST_HILLS.A,20170516,77,51,10.7777777778
LOST_HILLS.A,20170517,76,48,9.66666666667
LOST_HILLS.A,20170518,82,47,11.0555555556
LOST_HILLS.A,20170519,94,50,15.2222222222
LOST_HILLS.A,20170520,95,54,16.6111111111
LOST_HILLS.A,20170521,100,58,19.1111111111
LOST_HILLS.A,20170522,97,59,18.5555555556
LOST_HILLS.A,20170523,101,61,20.2222222222
LOST_HILLS.A,20170524,91,58,16.6111111111
LOST_HILLS.A,20170525,82,48,11.3333333333
LOST_HILLS.A,20170526,77,52,11.0555555556
LOST_HILLS.A,20170527,85,54,13.8333333333
LOST_HILLS.A,20170528,90,59,16.6111111111
LOST_HILLS.A,20170529,94,61,18.2777777778
LOST_HILLS.A,20170530,94,59,17.7222222222
LOST_HILLS.A,20170531,77,58,12.7222222222
LOST_HILLS.A,20170601,87,57,15.2222222222
LOST_HILLS.A,20170602,94,58,17.4444444444
LOST_HILLS.A,20170603,100,61,19.9444444444
LOST_HILLS.A,20170604,99,62,19.9444444444
LOST_HILLS.A,20170605,93,55,16.3333333333
LOST_HILLS.A,20170606,101,57,19.1111111111
LOST_HILLS.A,20170607,98,56,18.0
LOST_HILLS.A,20170608,89,56,15.5
LOST_HILLS.A,20170609,86,59,15.5
LOST_HILLS.A,20170610,79,59,13.5555555556
LOST_HILLS.A,20170611,76,51,10.5
LOST_HILLS.A,20170612,78,49,10.5
LOST_HILLS.A,20170613,82,49,11.6111111111
LOST_HILLS.A,20170614,88,56,15.2222222222
