Station,Date,Air max,min,heat unit
BAKRSFLD.C,20170101,54,35,-0.0555555555556
BAKRSFLD.C,20170102,53,42,1.61111111111
BAKRSFLD.C,20170103,59,41,3.0
BAKRSFLD.C,20170104,61,48,5.5
BAKRSFLD.C,20170105,55,44,2.72222222222
BAKRSFLD.C,20170106,56,36,0.777777777778
BAKRSFLD.C,20170107,58,44,3.55555555556
BAKRSFLD.C,20170108,78,54,11.8888888889
BAKRSFLD.C,20170109,64,51,7.16666666667
BAKRSFLD.C,20170110,63,50,6.61111111111
BAKRSFLD.C,20170111,64,50,6.88888888889
BAKRSFLD.C,20170112,57,46,3.83333333333
BAKRSFLD.C,20170113,46,41,-0.611111111111
BAKRSFLD.C,20170114,56,39,1.61111111111
BAKRSFLD.C,20170115,55,39,1.33333333333
BAKRSFLD.C,20170116,56,39,1.61111111111
BAKRSFLD.C,20170117,58,31,-0.0555555555556
BAKRSFLD.C,20170118,55,34,-0.0555555555556
BAKRSFLD.C,20170119,60,44,4.11111111111
BAKRSFLD.C,20170120,54,46,3.0
BAKRSFLD.C,20170121,58,42,3.0
BAKRSFLD.C,20170122,59,40,2.72222222222
BAKRSFLD.C,20170123,58,40,2.44444444444
BAKRSFLD.C,20170124,55,39,1.33333333333
BAKRSFLD.C,20170125,56,34,0.222222222222
BAKRSFLD.C,20170126,54,32,-0.888888888889
BAKRSFLD.C,20170127,58,31,-0.0555555555556
BAKRSFLD.C,20170128,60,32,0.777777777778
BAKRSFLD.C,20170129,60,39,2.72222222222
BAKRSFLD.C,20170130,67,33,3.0
BAKRSFLD.C,20170131,68,36,4.11111111111
BAKRSFLD.C,20170201,69,37,4.66666666667
BAKRSFLD.C,20170202,69,49,8.0
BAKRSFLD.C,20170203,70,51,8.83333333333
BAKRSFLD.C,20170204,66,42,5.22222222222
BAKRSFLD.C,20170205,61,41,3.55555555556
BAKRSFLD.C,20170206,63,51,6.88888888889
BAKRSFLD.C,20170207,70,52,9.11111111111
BAKRSFLD.C,20170208,74,54,10.7777777778
BAKRSFLD.C,20170209,73,55,10.7777777778
BAKRSFLD.C,20170210,62,54,7.44444444444
BAKRSFLD.C,20170211,56,43,2.72222222222
BAKRSFLD.C,20170212,64,40,4.11111111111
BAKRSFLD.C,20170213,66,39,4.38888888889
BAKRSFLD.C,20170214,67,48,7.16666666667
BAKRSFLD.C,20170215,76,53,11.0555555556
BAKRSFLD.C,20170216,57,46,3.83333333333
BAKRSFLD.C,20170217,62,52,6.88888888889
BAKRSFLD.C,20170218,66,50,7.44444444444
BAKRSFLD.C,20170219,60,48,5.22222222222
BAKRSFLD.C,20170220,71,52,9.38888888889
BAKRSFLD.C,20170221,70,50,8.55555555556
BAKRSFLD.C,20170222,58,45,3.83333333333
BAKRSFLD.C,20170223,53,35,-0.333333333333
BAKRSFLD.C,20170224,56,32,-0.333333333333
BAKRSFLD.C,20170225,52,31,-1.72222222222
BAKRSFLD.C,20170226,57,38,1.61111111111
BAKRSFLD.C,20170227,58,45,3.83333333333
BAKRSFLD.C,20170228,59,35,1.33333333333
BAKRSFLD.C,20170301,62,33,1.61111111111
BAKRSFLD.C,20170302,67,35,3.55555555556
BAKRSFLD.C,20170303,71,36,4.94444444444
BAKRSFLD.C,20170304,69,42,6.05555555556
BAKRSFLD.C,20170305,62,41,3.83333333333
BAKRSFLD.C,20170306,58,31,-0.0555555555556
BAKRSFLD.C,20170307,62,33,1.61111111111
BAKRSFLD.C,20170308,66,40,4.66666666667
BAKRSFLD.C,20170309,72,41,6.61111111111
BAKRSFLD.C,20170310,70,46,7.44444444444
