Station,Date,Air max,Air min,heat unit
CARUTHERS-01.P,20170101,53,34,-0.611111111111
CARUTHERS-01.P,20170102,51,39,0.222222222222
CARUTHERS-01.P,20170103,58,43,3.27777777778
CARUTHERS-01.P,20170104,56,49,4.38888888889
CARUTHERS-01.P,20170105,55,34,-0.0555555555556
CARUTHERS-01.P,20170106,52,30,-2.0
CARUTHERS-01.P,20170107,56,45,3.27777777778
CARUTHERS-01.P,20170108,73,55,10.7777777778
CARUTHERS-01.P,20170109,61,54,7.16666666667
CARUTHERS-01.P,20170110, , ,
CARUTHERS-01.P,20170111,60,50,5.77777777778
CARUTHERS-01.P,20170112,54,45,2.72222222222
CARUTHERS-01.P,20170113,50,40,0.222222222222
CARUTHERS-01.P,20170114,50,39,-0.0555555555556
CARUTHERS-01.P,20170115,47,40,-0.611111111111
CARUTHERS-01.P,20170116,51,35,-0.888888888889
CARUTHERS-01.P,20170117,55,30,-1.16666666667
CARUTHERS-01.P,20170118,56,37,1.05555555556
CARUTHERS-01.P,20170119,58,45,3.83333333333
CARUTHERS-01.P,20170120,55,44,2.72222222222
CARUTHERS-01.P,20170121,56,38,1.33333333333
CARUTHERS-01.P,20170122,56,47,3.83333333333
CARUTHERS-01.P,20170123,53,38,0.5
CARUTHERS-01.P,20170124,54,33,-0.611111111111
CARUTHERS-01.P,20170125,55,31,-0.888888888889
CARUTHERS-01.P,20170126,56,31,-0.611111111111
CARUTHERS-01.P,20170127,58,32,0.222222222222
CARUTHERS-01.P,20170128,61,30,0.5
CARUTHERS-01.P,20170129,61,30,0.5
CARUTHERS-01.P,20170130,63,32,1.61111111111
CARUTHERS-01.P,20170131,66,34,3.0
CARUTHERS-01.P,20170201,69,36,4.38888888889
CARUTHERS-01.P,20170202,63,50,6.61111111111
CARUTHERS-01.P,20170203,68,51,8.27777777778
CARUTHERS-01.P,20170204,65,42,4.94444444444
CARUTHERS-01.P,20170205,58,43,3.27777777778
CARUTHERS-01.P,20170206,59,52,6.05555555556
CARUTHERS-01.P,20170207,69,54,9.38888888889
CARUTHERS-01.P,20170208,68,58,10.2222222222
CARUTHERS-01.P,20170209,64,57,8.83333333333
CARUTHERS-01.P,20170210,61,54,7.16666666667
CARUTHERS-01.P,20170211,55,46,3.27777777778
CARUTHERS-01.P,20170212,62,39,3.27777777778
CARUTHERS-01.P,20170213,63,38,3.27777777778
CARUTHERS-01.P,20170214,69,44,6.61111111111
CARUTHERS-01.P,20170215,71,46,7.72222222222
CARUTHERS-01.P,20170216,58,51,5.5
CARUTHERS-01.P,20170217,57,51,5.22222222222
CARUTHERS-01.P,20170218,66,50,7.44444444444
CARUTHERS-01.P,20170219,56,45,3.27777777778
CARUTHERS-01.P,20170220,64,51,7.16666666667
CARUTHERS-01.P,20170221,68,48,7.44444444444
CARUTHERS-01.P,20170222,57,43,3.0
CARUTHERS-01.P,20170223,55,35,0.222222222222
CARUTHERS-01.P,20170224,57,31,-0.333333333333
CARUTHERS-01.P,20170225,57,31,-0.333333333333
CARUTHERS-01.P,20170226,58,34,0.777777777778
CARUTHERS-01.P,20170227,58,40,2.44444444444
CARUTHERS-01.P,20170228,60,36,1.88888888889
CARUTHERS-01.P,20170301,64,32,1.88888888889
CARUTHERS-01.P,20170302,68,34,3.55555555556
CARUTHERS-01.P,20170303,71,34,4.38888888889
CARUTHERS-01.P,20170304,69,39,5.22222222222
CARUTHERS-01.P,20170305,58,36,1.33333333333
CARUTHERS-01.P,20170306,60,30,0.222222222222
CARUTHERS-01.P,20170307,63,33,1.88888888889
CARUTHERS-01.P,20170308,67,38,4.38888888889
CARUTHERS-01.P,20170309,73,41,6.88888888889
CARUTHERS-01.P,20170310,71,46,7.72222222222
CARUTHERS-01.P,20170311,75,47,9.11111111111
CARUTHERS-01.P,20170312,77,49,10.2222222222
CARUTHERS-01.P,20170313,81,45,10.2222222222
CARUTHERS-01.P,20170314,89,48,13.2777777778
CARUTHERS-01.P,20170315,87,53,14.1111111111
CARUTHERS-01.P,20170316,76,51,10.5
CARUTHERS-01.P,20170317,82,47,11.0555555556
CARUTHERS-01.P,20170318,81,52,12.1666666667
CARUTHERS-01.P,20170319,74,50,9.66666666667
CARUTHERS-01.P,20170320,72,51,9.38888888889
CARUTHERS-01.P,20170321,72,53,9.94444444444
CARUTHERS-01.P,20170322,63,44,4.94444444444
CARUTHERS-01.P,20170323,65,41,4.66666666667
CARUTHERS-01.P,20170324,62,47,5.5
CARUTHERS-01.P,20170325,64,48,6.33333333333
CARUTHERS-01.P,20170326,67,45,6.33333333333
CARUTHERS-01.P,20170327,66,48,6.88888888889
CARUTHERS-01.P,20170328,69,42,6.05555555556
