Station,Date,Air max,Air min,heat unit
Del_Rey/Fowler-01.P,20170101,52,39,0.5
Del_Rey/Fowler-01.P,20170102,50,39,-0.0555555555556
Del_Rey/Fowler-01.P,20170103,56,39,1.61111111111
Del_Rey/Fowler-01.P,20170104,56,49,4.38888888889
Del_Rey/Fowler-01.P,20170105,56,34,0.222222222222
Del_Rey/Fowler-01.P,20170106,54,30,-1.44444444444
Del_Rey/Fowler-01.P,20170107,58,44,3.55555555556
Del_Rey/Fowler-01.P,20170108,69,56,9.94444444444
Del_Rey/Fowler-01.P,20170109,60,53,6.61111111111
Del_Rey/Fowler-01.P,20170110, , ,
Del_Rey/Fowler-01.P,20170111,58,49,4.94444444444
Del_Rey/Fowler-01.P,20170112,52,41,1.05555555556
Del_Rey/Fowler-01.P,20170113,50,39,-0.0555555555556
Del_Rey/Fowler-01.P,20170114,46,36,-2.0
Del_Rey/Fowler-01.P,20170115,46,42,-0.333333333333
Del_Rey/Fowler-01.P,20170116,49,33,-2.0
Del_Rey/Fowler-01.P,20170117,56,31,-0.611111111111
Del_Rey/Fowler-01.P,20170118,57,36,1.05555555556
Del_Rey/Fowler-01.P,20170119,59,44,3.83333333333
Del_Rey/Fowler-01.P,20170120,53,41,1.33333333333
Del_Rey/Fowler-01.P,20170121,55,39,1.33333333333
Del_Rey/Fowler-01.P,20170122,56,47,3.83333333333
Del_Rey/Fowler-01.P,20170123,53,36,-0.0555555555556
Del_Rey/Fowler-01.P,20170124,53,32,-1.16666666667
Del_Rey/Fowler-01.P,20170125,53,31,-1.44444444444
Del_Rey/Fowler-01.P,20170126,55,32,-0.611111111111
Del_Rey/Fowler-01.P,20170127,58,33,0.5
Del_Rey/Fowler-01.P,20170128,59,31,0.222222222222
Del_Rey/Fowler-01.P,20170129,61,31,0.777777777778
Del_Rey/Fowler-01.P,20170130,63,33,1.88888888889
Del_Rey/Fowler-01.P,20170131,67,33,3.0
Del_Rey/Fowler-01.P,20170201,65,37,3.55555555556
Del_Rey/Fowler-01.P,20170202,65,49,6.88888888889
Del_Rey/Fowler-01.P,20170203,66,51,7.72222222222
Del_Rey/Fowler-01.P,20170204,64,44,5.22222222222
Del_Rey/Fowler-01.P,20170205,61,44,4.38888888889
Del_Rey/Fowler-01.P,20170206,58,51,5.5
Del_Rey/Fowler-01.P,20170207,66,53,8.27777777778
Del_Rey/Fowler-01.P,20170208,68,58,10.2222222222
Del_Rey/Fowler-01.P,20170209,62,57,8.27777777778
Del_Rey/Fowler-01.P,20170210,60,53,6.61111111111
Del_Rey/Fowler-01.P,20170211,54,46,3.0
Del_Rey/Fowler-01.P,20170212,60,43,3.83333333333
Del_Rey/Fowler-01.P,20170213,64,40,4.11111111111
Del_Rey/Fowler-01.P,20170214,67,41,5.22222222222
Del_Rey/Fowler-01.P,20170215,73,44,7.72222222222
Del_Rey/Fowler-01.P,20170216,58,50,5.22222222222
Del_Rey/Fowler-01.P,20170217,57,50,4.94444444444
Del_Rey/Fowler-01.P,20170218,65,48,6.61111111111
Del_Rey/Fowler-01.P,20170219,59,47,4.66666666667
Del_Rey/Fowler-01.P,20170220,62,51,6.61111111111
Del_Rey/Fowler-01.P,20170221,69,52,8.83333333333
Del_Rey/Fowler-01.P,20170222,57,44,3.27777777778
Del_Rey/Fowler-01.P,20170223,54,35,-0.0555555555556
Del_Rey/Fowler-01.P,20170224,56,31,-0.611111111111
Del_Rey/Fowler-01.P,20170225,55,31,-0.888888888889
Del_Rey/Fowler-01.P,20170226,59,31,0.222222222222
Del_Rey/Fowler-01.P,20170227,58,42,3.0
Del_Rey/Fowler-01.P,20170228,59,32,0.5
Del_Rey/Fowler-01.P,20170301,64,31,1.61111111111
Del_Rey/Fowler-01.P,20170302,68,34,3.55555555556
Del_Rey/Fowler-01.P,20170303,70,36,4.66666666667
Del_Rey/Fowler-01.P,20170304,70,40,5.77777777778
Del_Rey/Fowler-01.P,20170305,53,35,-0.333333333333
Del_Rey/Fowler-01.P,20170306,58,32,0.222222222222
Del_Rey/Fowler-01.P,20170307,63,33,1.88888888889
Del_Rey/Fowler-01.P,20170308,67,36,3.83333333333
Del_Rey/Fowler-01.P,20170309,72,41,6.61111111111
Del_Rey/Fowler-01.P,20170310,71,46,7.72222222222
Del_Rey/Fowler-01.P,20170311,75,47,9.11111111111
Del_Rey/Fowler-01.P,20170312,77,46,9.38888888889
Del_Rey/Fowler-01.P,20170313,81,47,10.7777777778
Del_Rey/Fowler-01.P,20170314,85,49,12.4444444444
Del_Rey/Fowler-01.P,20170315,87,52,13.8333333333
Del_Rey/Fowler-01.P,20170316,76,49,9.94444444444
Del_Rey/Fowler-01.P,20170317,81,48,11.0555555556
Del_Rey/Fowler-01.P,20170318,82,52,12.4444444444
Del_Rey/Fowler-01.P,20170319,76,49,9.94444444444
Del_Rey/Fowler-01.P,20170320,71,54,9.94444444444
Del_Rey/Fowler-01.P,20170321,71,54,9.94444444444
Del_Rey/Fowler-01.P,20170322,65,45,5.77777777778
Del_Rey/Fowler-01.P,20170323,65,42,4.94444444444
Del_Rey/Fowler-01.P,20170324,62,46,5.22222222222
Del_Rey/Fowler-01.P,20170325,63,49,6.33333333333
Del_Rey/Fowler-01.P,20170326,67,44,6.05555555556
Del_Rey/Fowler-01.P,20170327,65,47,6.33333333333
