Station,Date,Air max,min,heat unit
TRNQULTY.A,20170101,55,31,-0.888888888889
TRNQULTY.A,20170102,53,37,0.222222222222
TRNQULTY.A,20170103,58,43,3.27777777778
TRNQULTY.A,20170104,58,49,4.94444444444
TRNQULTY.A,20170105,54,32,-0.888888888889
TRNQULTY.A,20170106,50,30,-2.55555555556
TRNQULTY.A,20170107,57,43,3.0
TRNQULTY.A,20170108,70,55,9.94444444444
TRNQULTY.A,20170109,63,51,6.88888888889
TRNQULTY.A,20170110,61,52,6.61111111111
TRNQULTY.A,20170111,63,49,6.33333333333
TRNQULTY.A,20170112,57,44,3.27777777778
TRNQULTY.A,20170113,55,36,0.5
TRNQULTY.A,20170114,54,36,0.222222222222
TRNQULTY.A,20170115,52,33,-1.16666666667
TRNQULTY.A,20170116,50,33,-1.72222222222
TRNQULTY.A,20170117,54,29,-1.72222222222
TRNQULTY.A,20170118,50,47,2.16666666667
TRNQULTY.A,20170119,59,40,2.72222222222
TRNQULTY.A,20170120,60,45,4.38888888889
TRNQULTY.A,20170121,57,41,2.44444444444
TRNQULTY.A,20170122,58,46,4.11111111111
TRNQULTY.A,20170123,56,38,1.33333333333
TRNQULTY.A,20170124,53,30,-1.72222222222
TRNQULTY.A,20170125,58,31,-0.0555555555556
TRNQULTY.A,20170126,56,32,-0.333333333333
TRNQULTY.A,20170127,59,31,0.222222222222
TRNQULTY.A,20170128,60,29,-0.0555555555556
TRNQULTY.A,20170129,62,32,1.33333333333
TRNQULTY.A,20170130,65,31,1.88888888889
TRNQULTY.A,20170131,64,32,1.88888888889
TRNQULTY.A,20170201,66,37,3.83333333333
TRNQULTY.A,20170202,63,50,6.61111111111
TRNQULTY.A,20170203,70,48,8.0
TRNQULTY.A,20170204,67,41,5.22222222222
TRNQULTY.A,20170205,62,41,3.83333333333
TRNQULTY.A,20170206,62,51,6.61111111111
TRNQULTY.A,20170207,71,53,9.66666666667
TRNQULTY.A,20170208,67,57,9.66666666667
TRNQULTY.A,20170209,67,55,9.11111111111
TRNQULTY.A,20170210,60,52,6.33333333333
TRNQULTY.A,20170211,60,45,4.38888888889
TRNQULTY.A,20170212,61,37,2.44444444444
TRNQULTY.A,20170213,64,32,1.88888888889
TRNQULTY.A,20170214,69,38,4.94444444444
TRNQULTY.A,20170215,70,36,4.66666666667
TRNQULTY.A,20170216,61,46,4.94444444444
TRNQULTY.A,20170217,55,46,3.27777777778
TRNQULTY.A,20170218,64,43,4.94444444444
TRNQULTY.A,20170219,56,39,1.61111111111
TRNQULTY.A,20170220,69,48,7.72222222222
TRNQULTY.A,20170221,70,46,7.44444444444
TRNQULTY.A,20170222,59,36,1.61111111111
TRNQULTY.A,20170223,55,31,-0.888888888889
TRNQULTY.A,20170224,58,29,-0.611111111111
TRNQULTY.A,20170225,57,31,-0.333333333333
TRNQULTY.A,20170226,60,31,0.5
TRNQULTY.A,20170227,58,37,1.61111111111
TRNQULTY.A,20170228,60,31,0.5
TRNQULTY.A,20170301,64,35,2.72222222222
TRNQULTY.A,20170302,67,31,2.44444444444
TRNQULTY.A,20170303,69,32,3.27777777778
TRNQULTY.A,20170304,67,33,3.0
TRNQULTY.A,20170305,59,32,0.5
TRNQULTY.A,20170306,61,31,0.777777777778
TRNQULTY.A,20170307,63,38,3.27777777778
TRNQULTY.A,20170308,67,37,4.11111111111
TRNQULTY.A,20170309,74,50,9.66666666667
TRNQULTY.A,20170310,73,43,7.44444444444
TRNQULTY.A,20170311,78,40,8.0
TRNQULTY.A,20170312,78,42,8.55555555556
TRNQULTY.A,20170313,80,44,9.66666666667
TRNQULTY.A,20170314,69,44,6.61111111111
TRNQULTY.A,20170315,68,44,6.33333333333
TRNQULTY.A,20170316,77,48,9.94444444444
