Station,Date,Air max,min,heat unit
DAVIS.A,20170101,51,40,0.5
DAVIS.A,20170102,51,40,0.5
DAVIS.A,20170103,50,44,1.33333333333
DAVIS.A,20170104,54,47,3.27777777778
DAVIS.A,20170105,49,35,-1.44444444444
DAVIS.A,20170106,46,33,-2.83333333333
DAVIS.A,20170107,56,37,1.05555555556
DAVIS.A,20170108,60,56,7.44444444444
DAVIS.A,20170109,58,50,5.22222222222
DAVIS.A,20170110,56,51,4.94444444444
DAVIS.A,20170111,57,45,3.55555555556
DAVIS.A,20170112,50,38,-0.333333333333
DAVIS.A,20170113,57,34,0.5
DAVIS.A,20170114,52,34,-0.888888888889
DAVIS.A,20170115,51,35,-0.888888888889
DAVIS.A,20170116,51,33,-1.44444444444
DAVIS.A,20170117,43,33,-3.66666666667
DAVIS.A,20170118,50,42,0.777777777778
DAVIS.A,20170119,58,45,3.83333333333
DAVIS.A,20170120,54,45,2.72222222222
DAVIS.A,20170121,55,45,3.0
DAVIS.A,20170122,56,44,3.0
DAVIS.A,20170123,53,41,1.33333333333
DAVIS.A,20170124,54,37,0.5
DAVIS.A,20170125,55,43,2.44444444444
DAVIS.A,20170126,58,42,3.0
DAVIS.A,20170127,58,37,1.61111111111
DAVIS.A,20170128,58,35,1.05555555556
DAVIS.A,20170129,60,34,1.33333333333
DAVIS.A,20170130,60,33,1.05555555556
DAVIS.A,20170131,57,34,0.5
DAVIS.A,20170201,53,39,0.777777777778
DAVIS.A,20170202,62,45,4.94444444444
DAVIS.A,20170203,60,53,6.61111111111
DAVIS.A,20170204,59,49,5.22222222222
DAVIS.A,20170205,60,48,5.22222222222
DAVIS.A,20170206,58,53,6.05555555556
DAVIS.A,20170207,65,54,8.27777777778
DAVIS.A,20170208,63,56,8.27777777778
DAVIS.A,20170209,62,56,8.0
DAVIS.A,20170210,65,52,7.72222222222
DAVIS.A,20170211,62,46,5.22222222222
DAVIS.A,20170212,65,45,5.77777777778
DAVIS.A,20170213,62,38,3.0
DAVIS.A,20170214,69,40,5.5
DAVIS.A,20170215,60,46,4.66666666667
DAVIS.A,20170216,65,49,6.88888888889
DAVIS.A,20170217,58,50,5.22222222222
DAVIS.A,20170218,60,48,5.22222222222
DAVIS.A,20170219,56,46,3.55555555556
DAVIS.A,20170220,57,51,5.22222222222
DAVIS.A,20170221,61,49,5.77777777778
DAVIS.A,20170222,57,39,1.88888888889
DAVIS.A,20170223,54,34,-0.333333333333
DAVIS.A,20170224,53,32,-1.16666666667
DAVIS.A,20170225,54,37,0.5
DAVIS.A,20170226,59,32,0.5
DAVIS.A,20170227,56,35,0.5
DAVIS.A,20170228,59,34,1.05555555556
DAVIS.A,20170301,64,36,3.0
DAVIS.A,20170302,69,36,4.38888888889
DAVIS.A,20170303,66,39,4.38888888889
DAVIS.A,20170304,63,43,4.66666666667
DAVIS.A,20170305,51,39,0.222222222222
DAVIS.A,20170306,54,42,1.88888888889
DAVIS.A,20170307,59,36,1.61111111111
DAVIS.A,20170308,67,42,5.5
DAVIS.A,20170309,76,45,8.83333333333
DAVIS.A,20170310,72,51,9.38888888889
DAVIS.A,20170311,75,45,8.55555555556
DAVIS.A,20170312,79,48,10.5
DAVIS.A,20170313,76,46,9.11111111111
DAVIS.A,20170314,80,46,10.2222222222
DAVIS.A,20170315,71,54,9.94444444444
DAVIS.A,20170316,73,50,9.38888888889
DAVIS.A,20170317,77,47,9.66666666667
DAVIS.A,20170318,71,52,9.38888888889
DAVIS.A,20170319,73,53,10.2222222222
DAVIS.A,20170320,64,52,7.44444444444
DAVIS.A,20170321,66,54,8.55555555556
DAVIS.A,20170322,64,46,5.77777777778
DAVIS.A,20170323,63,41,4.11111111111
DAVIS.A,20170324,56,51,4.94444444444
DAVIS.A,20170325,65,48,6.61111111111
DAVIS.A,20170326,63,47,5.77777777778
DAVIS.A,20170327,66,45,6.05555555556
DAVIS.A,20170328,72,50,9.11111111111
DAVIS.A,20170329,77,48,9.94444444444
DAVIS.A,20170330,70,44,6.88888888889
DAVIS.A,20170331,71,51,9.11111111111
DAVIS.A,20170401,77,54,11.6111111111
DAVIS.A,20170402,80,49,11.0555555556
DAVIS.A,20170403,76,53,11.0555555556
DAVIS.A,20170404,74,50,9.66666666667
DAVIS.A,20170405,74,50,9.66666666667
DAVIS.A,20170406,61,49,5.77777777778
DAVIS.A,20170407,63,48,6.05555555556
DAVIS.A,20170408,59,44,3.83333333333
DAVIS.A,20170409,62,39,3.27777777778
DAVIS.A,20170410,68,42,5.77777777778
DAVIS.A,20170411,65,53,8.0
DAVIS.A,20170412,66,52,8.0
DAVIS.A,20170413,63,44,4.94444444444
DAVIS.A,20170414,64,39,3.83333333333
DAVIS.A,20170415,69,41,5.77777777778
DAVIS.A,20170416,59,47,4.66666666667
DAVIS.A,20170417,63,54,7.72222222222
DAVIS.A,20170418,70,49,8.27777777778
DAVIS.A,20170419,69,56,9.94444444444
DAVIS.A,20170420,70,49,8.27777777778
DAVIS.A,20170421,80,49,11.0555555556
DAVIS.A,20170422,73,50,9.38888888889
DAVIS.A,20170423,74,47,8.83333333333
DAVIS.A,20170424,68,53,8.83333333333
DAVIS.A,20170425,71,49,8.55555555556
DAVIS.A,20170426,71,53,9.66666666667
DAVIS.A,20170427,77,49,10.2222222222
DAVIS.A,20170428,73,54,10.5
DAVIS.A,20170429,81,53,12.4444444444
DAVIS.A,20170430,86,46,11.8888888889
DAVIS.A,20170501,88,59,16.0555555556
DAVIS.A,20170502,90,66,18.5555555556
DAVIS.A,20170503,94,66,19.6666666667
DAVIS.A,20170504,91,57,16.3333333333
DAVIS.A,20170505,82,53,12.7222222222
DAVIS.A,20170506,69,47,7.44444444444
DAVIS.A,20170507,77,57,12.4444444444
DAVIS.A,20170508,86,48,12.4444444444
DAVIS.A,20170509,90,51,14.3888888889
DAVIS.A,20170510,75,52,10.5
DAVIS.A,20170511,74,52,10.2222222222
DAVIS.A,20170512,68,48,7.44444444444
DAVIS.A,20170513,71,42,6.61111111111
DAVIS.A,20170514,71,43,6.88888888889
DAVIS.A,20170515,78,43,8.83333333333
DAVIS.A,20170516,68,49,7.72222222222
DAVIS.A,20170517,76,44,8.55555555556
DAVIS.A,20170518,85,46,11.6111111111
DAVIS.A,20170519,90,53,14.9444444444
DAVIS.A,20170520,93,52,15.5
DAVIS.A,20170521,96,56,17.4444444444
DAVIS.A,20170522,96,57,17.7222222222
DAVIS.A,20170523,97,57,18.0
DAVIS.A,20170524,85,55,14.1111111111
DAVIS.A,20170525,72,53,9.94444444444
DAVIS.A,20170526,71,51,9.11111111111
DAVIS.A,20170527,80,52,11.8888888889
DAVIS.A,20170528,85,53,13.5555555556
DAVIS.A,20170529,85,55,14.1111111111
DAVIS.A,20170530,80,53,12.1666666667
DAVIS.A,20170531,81,57,13.5555555556
DAVIS.A,20170601,85,56,14.3888888889
DAVIS.A,20170602,91,55,15.7777777778
DAVIS.A,20170603,88,59,16.0555555556
DAVIS.A,20170604,87,55,14.6666666667
DAVIS.A,20170605,90,49,13.8333333333
DAVIS.A,20170606,88,55,14.9444444444
DAVIS.A,20170607,84,60,15.2222222222
DAVIS.A,20170608,71,56,10.5
DAVIS.A,20170609,76,52,10.7777777778
DAVIS.A,20170610,75,48,9.38888888889
DAVIS.A,20170611,68,45,6.61111111111
DAVIS.A,20170612,73,48,8.83333333333
DAVIS.A,20170613,83,51,12.4444444444
DAVIS.A,20170614,89,54,14.9444444444
DAVIS.A,20170615,93,55,16.3333333333
DAVIS.A,20170616,100,65,21.0555555556
DAVIS.A,20170617,98,70,21.8888888889
DAVIS.A,20170618,100,72,23.0
DAVIS.A,20170619,104,68,23.0
DAVIS.A,20170620,102,67,22.1666666667
DAVIS.A,20170621,105,65,22.4444444444
DAVIS.A,20170622,104,71,23.8333333333
DAVIS.A,20170623,99,65,20.7777777778
DAVIS.A,20170624,96,61,18.8333333333
DAVIS.A,20170625,89,59,16.3333333333
DAVIS.A,20170626,86,58,15.2222222222
DAVIS.A,20170627,86,55,14.3888888889
DAVIS.A,20170628,88,57,15.5
DAVIS.A,20170629,89,56,15.5
DAVIS.A,20170630,89,56,15.5
DAVIS.A,20170701,91,56,16.0555555556
DAVIS.A,20170702,91,57,16.3333333333
DAVIS.A,20170703,91,57,16.3333333333
DAVIS.A,20170704,91,56,16.0555555556
DAVIS.A,20170705,91,56,16.0555555556
DAVIS.A,20170706,91,56,16.0555555556
DAVIS.A,20170707,92,56,16.3333333333
DAVIS.A,20170708,93,55,16.3333333333
DAVIS.A,20170709,92,57,16.6111111111
DAVIS.A,20170710,93,57,16.8888888889
DAVIS.A,20170711,92,57,16.6111111111
DAVIS.A,20170712,93,58,17.1666666667
DAVIS.A,20170713,94,58,17.4444444444
DAVIS.A,20170714,93,58,17.1666666667
DAVIS.A,20170715,92,57,16.6111111111
DAVIS.A,20170716,91,57,16.3333333333
DAVIS.A,20170717,92,57,16.6111111111
DAVIS.A,20170718,93,57,16.8888888889
DAVIS.A,20170719,92,58,16.8888888889
DAVIS.A,20170720,90,58,16.3333333333
DAVIS.A,20170721,90,56,15.7777777778
DAVIS.A,20170722,90,56,15.7777777778
DAVIS.A,20170723,90,57,16.0555555556
DAVIS.A,20170724,92,57,16.6111111111
DAVIS.A,20170725,92,56,16.3333333333
DAVIS.A,20170726,93,56,16.6111111111
DAVIS.A,20170727,92,56,16.3333333333
DAVIS.A,20170728,92,56,16.3333333333
DAVIS.A,20170729,91,55,15.7777777778
DAVIS.A,20170730,91,56,16.0555555556
DAVIS.A,20170731,91,56,16.0555555556
DAVIS.A,20170801,93,55,16.3333333333
DAVIS.A,20170802,92,57,16.6111111111
DAVIS.A,20170803,92,55,16.0555555556
DAVIS.A,20170804,92,56,16.3333333333
DAVIS.A,20170805,90,56,15.7777777778
DAVIS.A,20170806,91,56,16.0555555556
DAVIS.A,20170807,90,57,16.0555555556
DAVIS.A,20170808,92,57,16.6111111111
DAVIS.A,20170809,93,57,16.8888888889
DAVIS.A,20170810,91,56,16.0555555556
DAVIS.A,20170811,92,55,16.0555555556
DAVIS.A,20170812,92,56,16.3333333333
DAVIS.A,20170813,92,56,16.3333333333
DAVIS.A,20170814,90,56,15.7777777778
DAVIS.A,20170815,90,55,15.5
DAVIS.A,20170816,91,55,15.7777777778
DAVIS.A,20170817,90,55,15.5
DAVIS.A,20170818,89,55,15.2222222222
DAVIS.A,20170819,88,54,14.6666666667
DAVIS.A,20170820,88,55,14.9444444444
DAVIS.A,20170821,89,55,15.2222222222
DAVIS.A,20170822,89,55,15.2222222222
DAVIS.A,20170823,90,55,15.5
DAVIS.A,20170824,90,54,15.2222222222
DAVIS.A,20170825,89,55,15.2222222222
DAVIS.A,20170826,90,55,15.5
DAVIS.A,20170827,92,55,16.0555555556
DAVIS.A,20170828,92,56,16.3333333333
DAVIS.A,20170829,91,56,16.0555555556
DAVIS.A,20170830,89,56,15.5
DAVIS.A,20170831,90,55,15.5
DAVIS.A,20170901,91,57,16.3333333333
DAVIS.A,20170902,92,55,16.0555555556
DAVIS.A,20170903,92,56,16.3333333333
DAVIS.A,20170904,91,55,15.7777777778
DAVIS.A,20170905,91,55,15.7777777778
DAVIS.A,20170906,89,56,15.5
DAVIS.A,20170907,89,55,15.2222222222
DAVIS.A,20170908,88,53,14.3888888889
DAVIS.A,20170909,85,54,13.8333333333
DAVIS.A,20170910,87,52,13.8333333333
DAVIS.A,20170911,87,52,13.8333333333
DAVIS.A,20170912,88,54,14.6666666667
DAVIS.A,20170913,86,54,14.1111111111
DAVIS.A,20170914,86,53,13.8333333333
DAVIS.A,20170915,86,53,13.8333333333
DAVIS.A,20170916,85,53,13.5555555556
DAVIS.A,20170917,86,54,14.1111111111
DAVIS.A,20170918,86,53,13.8333333333
DAVIS.A,20170919,86,52,13.5555555556
DAVIS.A,20170920,89,54,14.9444444444
DAVIS.A,20170921,88,54,14.6666666667
DAVIS.A,20170922,87,54,14.3888888889
DAVIS.A,20170923,86,53,13.8333333333
DAVIS.A,20170924,86,53,13.8333333333
DAVIS.A,20170925,87,54,14.3888888889
DAVIS.A,20170926,87,54,14.3888888889
DAVIS.A,20170927,86,53,13.8333333333
DAVIS.A,20170928,86,53,13.8333333333
DAVIS.A,20170929,87,53,14.1111111111
DAVIS.A,20170930,85,52,13.2777777778
DAVIS.A,20171001,83,54,13.2777777778
DAVIS.A,20171002,83,52,12.7222222222
DAVIS.A,20171003,83,51,12.4444444444
DAVIS.A,20171004,80,51,11.6111111111
DAVIS.A,20171005,81,51,11.8888888889
DAVIS.A,20171006,83,51,12.4444444444
DAVIS.A,20171007,83,51,12.4444444444
DAVIS.A,20171008,84,50,12.4444444444
DAVIS.A,20171009,82,50,11.8888888889
DAVIS.A,20171010,80,50,11.3333333333
DAVIS.A,20171011,80,49,11.0555555556
