Station,Date,Air max,min,heat unit
Esparto.A,20170101,54,35,-0.0555555555556
Esparto.A,20170102,51,38,-0.0555555555556
Esparto.A,20170103,50,42,0.777777777778
Esparto.A,20170104,59,47,4.66666666667
Esparto.A,20170105,51,37,-0.333333333333
Esparto.A,20170106,46,32,-3.11111111111
Esparto.A,20170107,56,38,1.33333333333
Esparto.A,20170108,61,56,7.72222222222
Esparto.A,20170109,59,52,6.05555555556
Esparto.A,20170110,59,52,6.05555555556
Esparto.A,20170111,59,47,4.66666666667
Esparto.A,20170112,53,44,2.16666666667
Esparto.A,20170113,60,43,3.83333333333
Esparto.A,20170114,59,39,2.44444444444
Esparto.A,20170115,53,37,0.222222222222
Esparto.A,20170116,55,32,-0.611111111111
Esparto.A,20170117,45,33,-3.11111111111
Esparto.A,20170118,49,43,0.777777777778
Esparto.A,20170119,60,45,4.38888888889
Esparto.A,20170120,57,47,4.11111111111
Esparto.A,20170121,55,46,3.27777777778
Esparto.A,20170122,59,44,3.83333333333
Esparto.A,20170123,56,40,1.88888888889
Esparto.A,20170124,57,41,2.44444444444
Esparto.A,20170125,55,35,0.222222222222
Esparto.A,20170126,59,42,3.27777777778
Esparto.A,20170127,62,38,3.0
Esparto.A,20170128,62,37,2.72222222222
Esparto.A,20170129,65,35,3.0
Esparto.A,20170130,64,36,3.0
Esparto.A,20170131,62,37,2.72222222222
Esparto.A,20170201,55,43,2.44444444444
Esparto.A,20170202,61,46,4.94444444444
Esparto.A,20170203,62,53,7.16666666667
Esparto.A,20170204,61,49,5.77777777778
Esparto.A,20170205,62,46,5.22222222222
Esparto.A,20170206,59,53,6.33333333333
Esparto.A,20170207,69,54,9.38888888889
Esparto.A,20170208,66,57,9.38888888889
Esparto.A,20170209,63,58,8.83333333333
Esparto.A,20170210,64,48,6.33333333333
Esparto.A,20170211,64,48,6.33333333333
Esparto.A,20170212,70,47,7.72222222222
Esparto.A,20170213,63,40,3.83333333333
Esparto.A,20170214,70,41,6.05555555556
Esparto.A,20170215,62,47,5.5
Esparto.A,20170216,68,49,7.72222222222
Esparto.A,20170217,56,51,4.94444444444
Esparto.A,20170218,65,50,7.16666666667
Esparto.A,20170219,56,47,3.83333333333
Esparto.A,20170220,60,51,6.05555555556
Esparto.A,20170221,62,49,6.05555555556
Esparto.A,20170222,59,44,3.83333333333
Esparto.A,20170223,57,37,1.33333333333
Esparto.A,20170224,56,35,0.5
Esparto.A,20170225,57,37,1.33333333333
Esparto.A,20170226,61,34,1.61111111111
Esparto.A,20170227,58,38,1.88888888889
Esparto.A,20170228,62,39,3.27777777778
Esparto.A,20170301,68,38,4.66666666667
Esparto.A,20170302,70,38,5.22222222222
Esparto.A,20170303,67,42,5.5
Esparto.A,20170304,64,41,4.38888888889
Esparto.A,20170305,52,39,0.5
Esparto.A,20170306,58,40,2.44444444444
Esparto.A,20170307,61,36,2.16666666667
Esparto.A,20170308,72,45,7.72222222222
Esparto.A,20170309,76,47,9.38888888889
Esparto.A,20170310,76,55,11.6111111111
Esparto.A,20170311,75,47,9.11111111111
Esparto.A,20170312,81,54,12.7222222222
Esparto.A,20170313,81,47,10.7777777778
Esparto.A,20170314,81,48,11.0555555556
Esparto.A,20170315,75,51,10.2222222222
Esparto.A,20170316,74,53,10.5
Esparto.A,20170317,79,50,11.0555555556
Esparto.A,20170318,74,55,11.0555555556
Esparto.A,20170319,74,55,11.0555555556
Esparto.A,20170320,66,52,8.0
Esparto.A,20170321,69,54,9.38888888889
Esparto.A,20170322,65,46,6.05555555556
Esparto.A,20170323,67,42,5.5
Esparto.A,20170324,55,50,4.38888888889
Esparto.A,20170325,67,50,7.72222222222
Esparto.A,20170326,64,48,6.33333333333
Esparto.A,20170327,68,47,7.16666666667
Esparto.A,20170328,74,47,8.83333333333
Esparto.A,20170329,79,50,11.0555555556
Esparto.A,20170330,73,46,8.27777777778
Esparto.A,20170331,71,53,9.66666666667
Esparto.A,20170401,84,54,13.5555555556
Esparto.A,20170402,83,53,13.0
Esparto.A,20170403,79,52,11.6111111111
Esparto.A,20170404,77,54,11.6111111111
Esparto.A,20170405,78,52,11.3333333333
Esparto.A,20170406,65,49,6.88888888889
Esparto.A,20170407,64,47,6.05555555556
Esparto.A,20170408,58,44,3.55555555556
Esparto.A,20170409,66,40,4.66666666667
Esparto.A,20170410,71,43,6.88888888889
Esparto.A,20170411,63,51,6.88888888889
Esparto.A,20170412,67,53,8.55555555556
Esparto.A,20170413,65,49,6.88888888889
Esparto.A,20170414,66,43,5.5
Esparto.A,20170415,72,46,8.0
Esparto.A,20170416,58,47,4.38888888889
Esparto.A,20170417,65,53,8.0
Esparto.A,20170418,73,50,9.38888888889
Esparto.A,20170419,70,43,6.61111111111
Esparto.A,20170420,72,48,8.55555555556
Esparto.A,20170421,83,54,13.2777777778
Esparto.A,20170422,75,50,9.94444444444
Esparto.A,20170423,77,52,11.0555555556
Esparto.A,20170424,70,55,9.94444444444
Esparto.A,20170425,74,54,10.7777777778
Esparto.A,20170426,73,60,12.1666666667
Esparto.A,20170427,79,52,11.6111111111
Esparto.A,20170428,75,57,11.8888888889
Esparto.A,20170429,86,59,15.5
Esparto.A,20170430,88,53,14.3888888889
Esparto.A,20170501,92,61,17.7222222222
Esparto.A,20170502,89,65,18.0
Esparto.A,20170503,98,70,21.8888888889
Esparto.A,20170504,93,63,18.5555555556
Esparto.A,20170505,83,55,13.5555555556
Esparto.A,20170506,74,52,10.2222222222
Esparto.A,20170507,83,59,14.6666666667
Esparto.A,20170508,89,55,15.2222222222
Esparto.A,20170509,96,58,18.0
Esparto.A,20170510,82,56,13.5555555556
Esparto.A,20170511,75,50,9.94444444444
Esparto.A,20170512,73,49,9.11111111111
Esparto.A,20170513,74,49,9.38888888889
Esparto.A,20170514,75,51,10.2222222222
Esparto.A,20170515,81,52,12.1666666667
Esparto.A,20170516,69,50,8.27777777778
Esparto.A,20170517,79,52,11.6111111111
Esparto.A,20170518,87,57,15.2222222222
Esparto.A,20170519,95,59,18.0
Esparto.A,20170520,96,61,18.8333333333
Esparto.A,20170521,97,64,19.9444444444
Esparto.A,20170522,101,68,22.1666666667
Esparto.A,20170523,102,66,21.8888888889
Esparto.A,20170524,95,58,17.7222222222
Esparto.A,20170525,76,55,11.6111111111
Esparto.A,20170526,77,54,11.6111111111
Esparto.A,20170527,85,54,13.8333333333
Esparto.A,20170528,91,55,15.7777777778
Esparto.A,20170529,90,57,16.0555555556
Esparto.A,20170530,87,55,14.6666666667
Esparto.A,20170531,84,59,14.9444444444
Esparto.A,20170601,89,60,16.6111111111
Esparto.A,20170602,89,57,15.7777777778
Esparto.A,20170603,93,63,18.5555555556
Esparto.A,20170604,94,56,16.8888888889
Esparto.A,20170605,94,57,17.1666666667
Esparto.A,20170606,94,57,17.1666666667
Esparto.A,20170607,88,56,15.2222222222
Esparto.A,20170608,72,57,11.0555555556
Esparto.A,20170609,79,58,13.2777777778
Esparto.A,20170610,78,57,12.7222222222
Esparto.A,20170611,71,50,8.83333333333
Esparto.A,20170612,76,47,9.38888888889
Esparto.A,20170613,86,55,14.3888888889
Esparto.A,20170614,93,63,18.5555555556
Esparto.A,20170615,97,64,19.9444444444
Esparto.A,20170616,103,70,23.2777777778
