Station,Date,Air max,min,heat unit
Woodland.A,20170101,51,40,0.5
Woodland.A,20170102,51,40,0.5
Woodland.A,20170103,50,44,1.33333333333
Woodland.A,20170104,54,47,3.27777777778
Woodland.A,20170105,49,35,-1.44444444444
Woodland.A,20170106,46,33,-2.83333333333
Woodland.A,20170107,56,37,1.05555555556
Woodland.A,20170108,60,56,7.44444444444
Woodland.A,20170109,58,50,5.22222222222
Woodland.A,20170110,56,51,4.94444444444
Woodland.A,20170111,57,45,3.55555555556
Woodland.A,20170112,50,38,-0.333333333333
Woodland.A,20170113,57,34,0.5
Woodland.A,20170114,56,35,0.5
Woodland.A,20170115,51,36,-0.611111111111
Woodland.A,20170116,51,32,-1.72222222222
Woodland.A,20170117,43,32,-3.94444444444
Woodland.A,20170118,49,42,0.5
Woodland.A,20170119,59,45,4.11111111111
Woodland.A,20170120,55,46,3.27777777778
Woodland.A,20170121,54,44,2.44444444444
Woodland.A,20170122,57,44,3.27777777778
Woodland.A,20170123,55,41,1.88888888889
Woodland.A,20170124,55,39,1.33333333333
Woodland.A,20170125,55,32,-0.611111111111
Woodland.A,20170126,57,39,1.88888888889
Woodland.A,20170127,60,37,2.16666666667
Woodland.A,20170128,59,33,0.777777777778
Woodland.A,20170129,61,34,1.61111111111
Woodland.A,20170130,64,33,2.16666666667
Woodland.A,20170131,57,33,0.222222222222
Woodland.A,20170201,52,39,0.5
Woodland.A,20170202,61,44,4.38888888889
Woodland.A,20170203,61,53,6.88888888889
Woodland.A,20170204,61,47,5.22222222222
Woodland.A,20170205,61,47,5.22222222222
Woodland.A,20170206,59,53,6.33333333333
Woodland.A,20170207,67,53,8.55555555556
Woodland.A,20170208,63,56,8.27777777778
Woodland.A,20170209,61,55,7.44444444444
Woodland.A,20170210,65,51,7.44444444444
Woodland.A,20170211,63,46,5.5
Woodland.A,20170212,66,44,5.77777777778
Woodland.A,20170213,63,40,3.83333333333
Woodland.A,20170214,69,41,5.77777777778
Woodland.A,20170215,61,47,5.22222222222
Woodland.A,20170216,66,49,7.16666666667
Woodland.A,20170217,58,50,5.22222222222
Woodland.A,20170218,61,48,5.5
Woodland.A,20170219,55,46,3.27777777778
Woodland.A,20170220,57,52,5.5
Woodland.A,20170221,63,49,6.33333333333
Woodland.A,20170222,58,39,2.16666666667
Woodland.A,20170223,55,35,0.222222222222
Woodland.A,20170224,54,33,-0.611111111111
Woodland.A,20170225,56,37,1.05555555556
Woodland.A,20170226,60,33,1.05555555556
Woodland.A,20170227,60,33,1.05555555556
Woodland.A,20170228,61,35,1.88888888889
Woodland.A,20170301,67,36,3.83333333333
Woodland.A,20170302,70,36,4.66666666667
Woodland.A,20170303,64,39,3.83333333333
Woodland.A,20170304,63,43,4.66666666667
Woodland.A,20170305,52,39,0.5
Woodland.A,20170306,55,40,1.61111111111
Woodland.A,20170307,61,36,2.16666666667
Woodland.A,20170308,69,45,6.88888888889
Woodland.A,20170309,76,45,8.83333333333
Woodland.A,20170310,74,53,10.5
Woodland.A,20170311,76,46,9.11111111111
Woodland.A,20170312,80,51,11.6111111111
Woodland.A,20170313,79,44,9.38888888889
Woodland.A,20170314,81,46,10.5
Woodland.A,20170315,73,51,9.66666666667
Woodland.A,20170316,75,50,9.94444444444
Woodland.A,20170317,78,48,10.2222222222
Woodland.A,20170318,71,54,9.94444444444
Woodland.A,20170319,73,54,10.5
Woodland.A,20170320,66,50,7.44444444444
Woodland.A,20170321,68,54,9.11111111111
Woodland.A,20170322,64,46,5.77777777778
Woodland.A,20170323,64,41,4.38888888889
Woodland.A,20170324,56,51,4.94444444444
Woodland.A,20170325,67,48,7.16666666667
Woodland.A,20170326,64,47,6.05555555556
Woodland.A,20170327,67,45,6.33333333333
Woodland.A,20170328,73,52,9.94444444444
Woodland.A,20170329,77,49,10.2222222222
Woodland.A,20170330,71,47,8.0
Woodland.A,20170331,71,51,9.11111111111
Woodland.A,20170401,82,56,13.5555555556
Woodland.A,20170402,82,51,12.1666666667
Woodland.A,20170403,76,53,11.0555555556
Woodland.A,20170404,75,52,10.5
Woodland.A,20170405,76,50,10.2222222222
Woodland.A,20170406,62,49,6.05555555556
Woodland.A,20170407,63,48,6.05555555556
Woodland.A,20170408,59,44,3.83333333333
Woodland.A,20170409,63,40,3.83333333333
Woodland.A,20170410,69,43,6.33333333333
Woodland.A,20170411,67,53,8.55555555556
Woodland.A,20170412,67,53,8.55555555556
Woodland.A,20170413,64,46,5.77777777778
Woodland.A,20170414,65,40,4.38888888889
Woodland.A,20170415,71,42,6.61111111111
Woodland.A,20170416,60,47,4.94444444444
Woodland.A,20170417,63,53,7.44444444444
Woodland.A,20170418,70,50,8.55555555556
Woodland.A,20170419,70,56,10.2222222222
Woodland.A,20170420,71,50,8.83333333333
Woodland.A,20170421,81,51,11.8888888889
Woodland.A,20170422,74,49,9.38888888889
Woodland.A,20170423,75,48,9.38888888889
Woodland.A,20170424,70,55,9.94444444444
Woodland.A,20170425,72,52,9.66666666667
Woodland.A,20170426,72,54,10.2222222222
Woodland.A,20170427,77,49,10.2222222222
Woodland.A,20170428,74,55,11.0555555556
Woodland.A,20170429,83,54,13.2777777778
Woodland.A,20170430,86,48,12.4444444444
Woodland.A,20170501,90,62,17.4444444444
Woodland.A,20170502,91,69,19.6666666667
Woodland.A,20170503,96,69,21.0555555556
Woodland.A,20170504,92,60,17.4444444444
Woodland.A,20170505,84,54,13.5555555556
Woodland.A,20170506,70,49,8.27777777778
Woodland.A,20170507,79,56,12.7222222222
Woodland.A,20170508,87,52,13.8333333333
Woodland.A,20170509,93,54,16.0555555556
Woodland.A,20170510,79,53,11.8888888889
Woodland.A,20170511,76,51,10.5
Woodland.A,20170512,72,50,9.11111111111
Woodland.A,20170513,72,47,8.27777777778
Woodland.A,20170514,73,48,8.83333333333
Woodland.A,20170515,80,47,10.5
Woodland.A,20170516,69,50,8.27777777778
Woodland.A,20170517,77,47,9.66666666667
Woodland.A,20170518,85,48,12.1666666667
Woodland.A,20170519,94,56,16.8888888889
Woodland.A,20170520,94,56,16.8888888889
Woodland.A,20170521,97,59,18.5555555556
Woodland.A,20170522,97,60,18.8333333333
Woodland.A,20170523,99,60,19.3888888889
Woodland.A,20170524,88,56,15.2222222222
Woodland.A,20170525,75,53,10.7777777778
Woodland.A,20170526,74,51,9.94444444444
Woodland.A,20170527,82,52,12.4444444444
Woodland.A,20170528,87,54,14.3888888889
Woodland.A,20170529,87,55,14.6666666667
Woodland.A,20170530,83,55,13.5555555556
Woodland.A,20170531,81,58,13.8333333333
Woodland.A,20170601,86,56,14.6666666667
Woodland.A,20170602,92,57,16.6111111111
Woodland.A,20170603,90,61,17.1666666667
Woodland.A,20170604,90,56,15.7777777778
Woodland.A,20170605,91,53,15.2222222222
Woodland.A,20170606,91,56,16.0555555556
Woodland.A,20170607,84,56,14.1111111111
Woodland.A,20170608,71,54,9.94444444444
Woodland.A,20170609,78,54,11.8888888889
Woodland.A,20170610,77,49,10.2222222222
Woodland.A,20170611,68,49,7.72222222222
Woodland.A,20170612,75,48,9.38888888889
