Station,Date,Air max,min,heat unit
BLACKWLL.A,20170101,51,30,-2.27777777778
BLACKWLL.A,20170102,52,39,0.5
BLACKWLL.A,20170103,56,40,1.88888888889
BLACKWLL.A,20170104,56,36,0.777777777778
BLACKWLL.A,20170105,51,40,0.5
BLACKWLL.A,20170106,48,29,-3.38888888889
BLACKWLL.A,20170107,56,39,1.61111111111
BLACKWLL.A,20170108,67,38,4.38888888889
BLACKWLL.A,20170109,58,49,4.94444444444
BLACKWLL.A,20170110,59,49,5.22222222222
BLACKWLL.A,20170111,58,48,4.66666666667
BLACKWLL.A,20170112,54,37,0.5
BLACKWLL.A,20170113,46,33,-2.83333333333
BLACKWLL.A,20170114,48,36,-1.44444444444
BLACKWLL.A,20170115,47,41,-0.333333333333
BLACKWLL.A,20170116,53,32,-1.16666666667
BLACKWLL.A,20170117,33,11,-12.5555555556
BLACKWLL.A,20170118,31,16,-11.7222222222
BLACKWLL.A,20170119,33,23,-9.22222222222
BLACKWLL.A,20170120,34,26,-8.11111111111
BLACKWLL.A,20170121,45,28,-4.5
BLACKWLL.A,20170122,46,34,-2.55555555556
BLACKWLL.A,20170123,43,26,-5.61111111111
BLACKWLL.A,20170124,42,18,-8.11111111111
BLACKWLL.A,20170125,41,18,-8.38888888889
BLACKWLL.A,20170126,56,31,-0.611111111111
BLACKWLL.A,20170127,46,22,-5.88888888889
BLACKWLL.A,20170128,50,27,-3.38888888889
BLACKWLL.A,20170129,54,29,-1.72222222222
BLACKWLL.A,20170130,59,32,0.5
BLACKWLL.A,20170131,71,36,4.94444444444
BLACKWLL.A,20170201,66,36,3.55555555556
BLACKWLL.A,20170202,63,43,4.66666666667
BLACKWLL.A,20170203,62,46,5.22222222222
BLACKWLL.A,20170204,60,43,3.83333333333
BLACKWLL.A,20170205,58,38,1.88888888889
BLACKWLL.A,20170206,58,48,4.66666666667
BLACKWLL.A,20170207,64,48,6.33333333333
BLACKWLL.A,20170208,62,35,2.16666666667
BLACKWLL.A,20170209,65,53,8.0
BLACKWLL.A,20170210,54,41,1.61111111111
BLACKWLL.A,20170211,49,39,-0.333333333333
BLACKWLL.A,20170212,51,28,-2.83333333333
BLACKWLL.A,20170213,53,33,-0.888888888889
BLACKWLL.A,20170214,59,38,2.16666666667
BLACKWLL.A,20170215,69,39,5.22222222222
BLACKWLL.A,20170216,54,47,3.27777777778
BLACKWLL.A,20170217,52,39,0.5
BLACKWLL.A,20170218,57,42,2.72222222222
BLACKWLL.A,20170219,52,38,0.222222222222
BLACKWLL.A,20170220,63,43,4.66666666667
BLACKWLL.A,20170221,61,45,4.66666666667
BLACKWLL.A,20170222,56,38,1.33333333333
BLACKWLL.A,20170223,50,33,-1.72222222222
