Station,Date,Air max,Air min,heat unit
SAND_RANCH-01.P,20170101,53,32,-1.16666666667
SAND_RANCH-01.P,20170102,51,40,0.5
SAND_RANCH-01.P,20170103,57,42,2.72222222222
SAND_RANCH-01.P,20170104,55,48,3.83333333333
SAND_RANCH-01.P,20170105,54,32,-0.888888888889
SAND_RANCH-01.P,20170106,51,28,-2.83333333333
SAND_RANCH-01.P,20170107,56,44,3.0
SAND_RANCH-01.P,20170108,72,55,10.5
SAND_RANCH-01.P,20170109,60,52,6.33333333333
SAND_RANCH-01.P,20170110, , ,
SAND_RANCH-01.P,20170111,60,49,5.5
SAND_RANCH-01.P,20170112,54,45,2.72222222222
SAND_RANCH-01.P,20170113,52,37,-0.0555555555556
SAND_RANCH-01.P,20170114,50,37,-0.611111111111
SAND_RANCH-01.P,20170115,48,37,-1.16666666667
SAND_RANCH-01.P,20170116,49,33,-2.0
SAND_RANCH-01.P,20170117,53,30,-1.72222222222
SAND_RANCH-01.P,20170118,53,35,-0.333333333333
SAND_RANCH-01.P,20170119,58,45,3.83333333333
SAND_RANCH-01.P,20170120,57,44,3.27777777778
SAND_RANCH-01.P,20170121,56,37,1.05555555556
SAND_RANCH-01.P,20170122,55,46,3.27777777778
SAND_RANCH-01.P,20170123,53,37,0.222222222222
SAND_RANCH-01.P,20170124,52,31,-1.72222222222
SAND_RANCH-01.P,20170125,55,30,-1.16666666667
SAND_RANCH-01.P,20170126,54,30,-1.44444444444
SAND_RANCH-01.P,20170127,57,32,-0.0555555555556
SAND_RANCH-01.P,20170128,59,28,-0.611111111111
SAND_RANCH-01.P,20170129,60,29,-0.0555555555556
SAND_RANCH-01.P,20170130,61,31,0.777777777778
SAND_RANCH-01.P,20170131,64,32,1.88888888889
SAND_RANCH-01.P,20170201,69,37,4.66666666667
SAND_RANCH-01.P,20170202,61,50,6.05555555556
SAND_RANCH-01.P,20170203,68,46,6.88888888889
SAND_RANCH-01.P,20170204,65,38,3.83333333333
SAND_RANCH-01.P,20170205,59,43,3.55555555556
SAND_RANCH-01.P,20170206,59,52,6.05555555556
SAND_RANCH-01.P,20170207,69,53,9.11111111111
SAND_RANCH-01.P,20170208,68,58,10.2222222222
SAND_RANCH-01.P,20170209,67,57,9.66666666667
SAND_RANCH-01.P,20170210,60,53,6.61111111111
SAND_RANCH-01.P,20170211,55,44,2.72222222222
SAND_RANCH-01.P,20170212,61,37,2.44444444444
SAND_RANCH-01.P,20170213,62,35,2.16666666667
SAND_RANCH-01.P,20170214,67,41,5.22222222222
SAND_RANCH-01.P,20170215,69,45,6.88888888889
