Station,Date,Air max,min,heat unit
WINTERS.C,20170101,52,31,-1.72222222222
WINTERS.C,20170102,50,39,-0.0555555555556
WINTERS.C,20170103,48,42,0.222222222222
WINTERS.C,20170104,54,45,2.72222222222
WINTERS.C,20170105,50,34,-1.44444444444
WINTERS.C,20170106,46,32,-3.11111111111
WINTERS.C,20170107,54,36,0.222222222222
WINTERS.C,20170108,59,53,6.33333333333
WINTERS.C,20170109,57,48,4.38888888889
WINTERS.C,20170110,56,49,4.38888888889
WINTERS.C,20170111,56,44,3.0
WINTERS.C,20170112,49,37,-0.888888888889
WINTERS.C,20170113,59,33,0.777777777778
WINTERS.C,20170114,56,30,-0.888888888889
WINTERS.C,20170115,51,31,-2.0
WINTERS.C,20170116,53,28,-2.27777777778
WINTERS.C,20170117,44,28,-4.77777777778
WINTERS.C,20170118,47,41,-0.333333333333
WINTERS.C,20170119,58,42,3.0
WINTERS.C,20170120,55,45,3.0
WINTERS.C,20170121,54,44,2.44444444444
WINTERS.C,20170122,57,40,2.16666666667
WINTERS.C,20170123,53,36,-0.0555555555556
WINTERS.C,20170124,54,37,0.5
WINTERS.C,20170125,54,31,-1.16666666667
WINTERS.C,20170126,57,36,1.05555555556
WINTERS.C,20170127,59,35,1.33333333333
WINTERS.C,20170128,59,32,0.5
WINTERS.C,20170129,62,34,1.88888888889
WINTERS.C,20170130,61,33,1.33333333333
WINTERS.C,20170131,57,35,0.777777777778
WINTERS.C,20170201,52,37,-0.0555555555556
WINTERS.C,20170202,59,43,3.55555555556
WINTERS.C,20170203,59,49,5.22222222222
WINTERS.C,20170204,59,46,4.38888888889
WINTERS.C,20170205,60,43,3.83333333333
WINTERS.C,20170206,59,51,5.77777777778
WINTERS.C,20170207,67,52,8.27777777778
WINTERS.C,20170208,62,55,7.72222222222
WINTERS.C,20170209,62,55,7.72222222222
WINTERS.C,20170210,64,48,6.33333333333
WINTERS.C,20170211,64,46,5.77777777778
WINTERS.C,20170212,67,41,5.22222222222
WINTERS.C,20170213,60,36,1.88888888889
WINTERS.C,20170214,67,40,4.94444444444
WINTERS.C,20170215,60,43,3.83333333333
WINTERS.C,20170216,65,47,6.33333333333
WINTERS.C,20170217,55,49,4.11111111111
WINTERS.C,20170218,60,47,4.94444444444
WINTERS.C,20170219,54,44,2.44444444444
WINTERS.C,20170220,58,50,5.22222222222
WINTERS.C,20170221,59,47,4.66666666667
WINTERS.C,20170222,56,41,2.16666666667
WINTERS.C,20170223,54,36,0.222222222222
WINTERS.C,20170224,53,31,-1.44444444444
WINTERS.C,20170225,54,33,-0.611111111111
WINTERS.C,20170226,58,32,0.222222222222
WINTERS.C,20170227,56,39,1.61111111111
WINTERS.C,20170228,58,37,1.61111111111
WINTERS.C,20170301,65,35,3.0
WINTERS.C,20170302,68,33,3.27777777778
WINTERS.C,20170303,65,39,4.11111111111
WINTERS.C,20170304,60,40,3.0
WINTERS.C,20170305,49,38,-0.611111111111
WINTERS.C,20170306,54,42,1.88888888889
WINTERS.C,20170307,58,35,1.05555555556
WINTERS.C,20170308,70,41,6.05555555556
WINTERS.C,20170309,72,42,6.88888888889
WINTERS.C,20170310,74,51,9.94444444444
WINTERS.C,20170311,75,47,9.11111111111
WINTERS.C,20170312,77,51,10.7777777778
WINTERS.C,20170313,78,45,9.38888888889
WINTERS.C,20170314,79,46,9.94444444444
WINTERS.C,20170315,73,48,8.83333333333
WINTERS.C,20170316,72,52,9.66666666667
WINTERS.C,20170317,75,46,8.83333333333
WINTERS.C,20170318,70,51,8.83333333333
WINTERS.C,20170319,70,51,8.83333333333
WINTERS.C,20170320,62,47,5.5
WINTERS.C,20170321,65,51,7.44444444444
WINTERS.C,20170322,62,45,4.94444444444
WINTERS.C,20170323,64,42,4.66666666667
