Station,Date,Air max,min,heat unit
Five_Points_SW.A,20170101,58,30,-0.333333333333
Five_Points_SW.A,20170102,56,38,1.33333333333
Five_Points_SW.A,20170103,61,43,4.11111111111
Five_Points_SW.A,20170104,57,49,4.66666666667
Five_Points_SW.A,20170105,53,34,-0.611111111111
Five_Points_SW.A,20170106,53,30,-1.72222222222
Five_Points_SW.A,20170107,55,44,2.72222222222
Five_Points_SW.A,20170108,75,53,10.7777777778
Five_Points_SW.A,20170109,66,54,8.55555555556
Five_Points_SW.A,20170110,62,53,7.16666666667
Five_Points_SW.A,20170111,63,49,6.33333333333
Five_Points_SW.A,20170112,56,46,3.55555555556
Five_Points_SW.A,20170113,55,36,0.5
Five_Points_SW.A,20170114,55,37,0.777777777778
Five_Points_SW.A,20170115,55,33,-0.333333333333
Five_Points_SW.A,20170116,55,33,-0.333333333333
Five_Points_SW.A,20170117,57,30,-0.611111111111
Five_Points_SW.A,20170118,55,36,0.5
Five_Points_SW.A,20170119,63,42,4.38888888889
Five_Points_SW.A,20170120,63,44,4.94444444444
Five_Points_SW.A,20170121,60,39,2.72222222222
Five_Points_SW.A,20170122,59,47,4.66666666667
Five_Points_SW.A,20170123,57,37,1.33333333333
Five_Points_SW.A,20170124,57,31,-0.333333333333
Five_Points_SW.A,20170125,60,30,0.222222222222
Five_Points_SW.A,20170126,60,30,0.222222222222
Five_Points_SW.A,20170127,61,31,0.777777777778
Five_Points_SW.A,20170128,63,29,0.777777777778
Five_Points_SW.A,20170129,65,29,1.33333333333
Five_Points_SW.A,20170130,67,31,2.44444444444
Five_Points_SW.A,20170131,63,33,1.88888888889
Five_Points_SW.A,20170201,76,38,6.88888888889
Five_Points_SW.A,20170202,64,50,6.88888888889
Five_Points_SW.A,20170203,72,44,7.44444444444
Five_Points_SW.A,20170204,70,42,6.33333333333
Five_Points_SW.A,20170205,63,43,4.66666666667
Five_Points_SW.A,20170206,63,52,7.16666666667
Five_Points_SW.A,20170207,71,54,9.94444444444
Five_Points_SW.A,20170208,73,55,10.7777777778
Five_Points_SW.A,20170209,70,56,10.2222222222
Five_Points_SW.A,20170210,63,54,7.72222222222
Five_Points_SW.A,20170211,60,43,3.83333333333
Five_Points_SW.A,20170212,64,39,3.83333333333
Five_Points_SW.A,20170213,68,35,3.83333333333
Five_Points_SW.A,20170214,71,42,6.61111111111
Five_Points_SW.A,20170215,74,43,7.72222222222
Five_Points_SW.A,20170216,64,47,6.05555555556
Five_Points_SW.A,20170217,55,50,4.38888888889
Five_Points_SW.A,20170218,67,49,7.44444444444
Five_Points_SW.A,20170219,61,46,4.94444444444
Five_Points_SW.A,20170220,68,51,8.27777777778
Five_Points_SW.A,20170221,70,46,7.44444444444
Five_Points_SW.A,20170222,61,42,3.83333333333
Five_Points_SW.A,20170223,58,33,0.5
Five_Points_SW.A,20170224,61,31,0.777777777778
Five_Points_SW.A,20170225,59,30,-0.0555555555556
Five_Points_SW.A,20170226,59,32,0.5
Five_Points_SW.A,20170227,62,41,3.83333333333
Five_Points_SW.A,20170228,65,40,4.38888888889
Five_Points_SW.A,20170301,67,37,4.11111111111
Five_Points_SW.A,20170302,71,31,3.55555555556
Five_Points_SW.A,20170303,74,31,4.38888888889
Five_Points_SW.A,20170304,70,38,5.22222222222
Five_Points_SW.A,20170305,63,31,1.33333333333
Five_Points_SW.A,20170306,67,43,5.77777777778
Five_Points_SW.A,20170307,67,36,3.83333333333
Five_Points_SW.A,20170308,71,38,5.5
Five_Points_SW.A,20170309,77,39,7.44444444444
Five_Points_SW.A,20170310,75,44,8.27777777778
Five_Points_SW.A,20170311,80,43,9.38888888889
Five_Points_SW.A,20170312,79,46,9.94444444444
Five_Points_SW.A,20170313,79,42,8.83333333333
Five_Points_SW.A,20170314,85,48,12.1666666667
Five_Points_SW.A,20170315,87,50,13.2777777778
Five_Points_SW.A,20170316,80,49,11.0555555556
Five_Points_SW.A,20170317,79,47,10.2222222222
Five_Points_SW.A,20170318,78,51,11.0555555556
Five_Points_SW.A,20170319,77,49,10.2222222222
Five_Points_SW.A,20170320,77,50,10.5
Five_Points_SW.A,20170321,74,46,8.55555555556
Five_Points_SW.A,20170322,66,40,4.66666666667
Five_Points_SW.A,20170323,70,37,4.94444444444
Five_Points_SW.A,20170324,69,43,6.33333333333
Five_Points_SW.A,20170325,67,48,7.16666666667
Five_Points_SW.A,20170326,69,45,6.88888888889
Five_Points_SW.A,20170327,69,50,8.27777777778
Five_Points_SW.A,20170328,72,45,7.72222222222
Five_Points_SW.A,20170329,76,43,8.27777777778
Five_Points_SW.A,20170330,73,44,7.72222222222
Five_Points_SW.A,20170331,69,48,7.72222222222
Five_Points_SW.A,20170401,80,35,7.16666666667
Five_Points_SW.A,20170402,84,41,9.94444444444
Five_Points_SW.A,20170403,81,46,10.5
Five_Points_SW.A,20170404,85,38,9.38888888889
Five_Points_SW.A,20170405,88,46,12.4444444444
Five_Points_SW.A,20170406,73,54,10.5
Five_Points_SW.A,20170407,65,55,8.55555555556
Five_Points_SW.A,20170408,67,42,5.5
Five_Points_SW.A,20170409,71,36,4.94444444444
Five_Points_SW.A,20170410,75,47,9.11111111111
Five_Points_SW.A,20170411,79,47,10.2222222222
Five_Points_SW.A,20170412,82,49,11.6111111111
Five_Points_SW.A,20170413,75,47,9.11111111111
Five_Points_SW.A,20170414,71,36,4.94444444444
Five_Points_SW.A,20170415,80,40,8.55555555556
Five_Points_SW.A,20170416,81,43,9.66666666667
Five_Points_SW.A,20170417,79,55,12.4444444444
Five_Points_SW.A,20170418,68,49,7.72222222222
Five_Points_SW.A,20170419,79,45,9.66666666667
Five_Points_SW.A,20170420,78,47,9.94444444444
Five_Points_SW.A,20170421,83,50,12.1666666667
Five_Points_SW.A,20170422,85,41,10.2222222222
Five_Points_SW.A,20170423,81,51,11.8888888889
Five_Points_SW.A,20170424,76,49,9.94444444444
Five_Points_SW.A,20170425,78,48,10.2222222222
Five_Points_SW.A,20170426,79,49,10.7777777778
Five_Points_SW.A,20170427,81,52,12.1666666667
Five_Points_SW.A,20170428,82,47,11.0555555556
Five_Points_SW.A,20170429,84,49,12.1666666667
Five_Points_SW.A,20170430,89,44,12.1666666667
Five_Points_SW.A,20170501,91,53,15.2222222222
Five_Points_SW.A,20170502,95,67,20.2222222222
Five_Points_SW.A,20170503,99,57,18.5555555556
