Station,Date,Air max,Air min,heat unit
KINGSBURG-01.P,20170101,55,37,0.777777777778
KINGSBURG-01.P,20170102,51,39,0.222222222222
KINGSBURG-01.P,20170103,58,41,2.72222222222
KINGSBURG-01.P,20170104,56,49,4.38888888889
KINGSBURG-01.P,20170105,55,34,-0.0555555555556
KINGSBURG-01.P,20170106,54,27,-2.27777777778
KINGSBURG-01.P,20170107,58,45,3.83333333333
KINGSBURG-01.P,20170108,74,55,11.0555555556
KINGSBURG-01.P,20170109,61,54,7.16666666667
KINGSBURG-01.P,20170110,60,51,6.05555555556
KINGSBURG-01.P,20170111,60,49,5.5
KINGSBURG-01.P,20170112,54,41,1.61111111111
KINGSBURG-01.P,20170113,50,40,0.222222222222
KINGSBURG-01.P,20170114,47,34,-2.27777777778
KINGSBURG-01.P,20170115,47,43,0.222222222222
KINGSBURG-01.P,20170116,51,35,-0.888888888889
KINGSBURG-01.P,20170117,56,29,-1.16666666667
KINGSBURG-01.P,20170118,60,34,1.33333333333
KINGSBURG-01.P,20170119,59,45,4.11111111111
KINGSBURG-01.P,20170120,54,42,1.88888888889
KINGSBURG-01.P,20170121,57,38,1.61111111111
KINGSBURG-01.P,20170122,57,47,4.11111111111
KINGSBURG-01.P,20170123,52,36,-0.333333333333
KINGSBURG-01.P,20170124,54,31,-1.16666666667
KINGSBURG-01.P,20170125,55,30,-1.16666666667
KINGSBURG-01.P,20170126,56,30,-0.888888888889
KINGSBURG-01.P,20170127,60,31,0.5
KINGSBURG-01.P,20170128,62,29,0.5
KINGSBURG-01.P,20170129,61,30,0.5
KINGSBURG-01.P,20170130,62,33,1.61111111111
KINGSBURG-01.P,20170131,67,35,3.55555555556
KINGSBURG-01.P,20170201,69,36,4.38888888889
KINGSBURG-01.P,20170202,65,50,7.16666666667
KINGSBURG-01.P,20170203,67,52,8.27777777778
KINGSBURG-01.P,20170204,66,45,6.05555555556
KINGSBURG-01.P,20170205,61,42,3.83333333333
KINGSBURG-01.P,20170206,59,52,6.05555555556
KINGSBURG-01.P,20170207,68,54,9.11111111111
KINGSBURG-01.P,20170208,69,58,10.5
KINGSBURG-01.P,20170209,63,58,8.83333333333
KINGSBURG-01.P,20170210,61,54,7.16666666667
KINGSBURG-01.P,20170211,54,47,3.27777777778
KINGSBURG-01.P,20170212,63,42,4.38888888889
KINGSBURG-01.P,20170213,65,38,3.83333333333
KINGSBURG-01.P,20170214,70,42,6.33333333333
KINGSBURG-01.P,20170215,74,45,8.27777777778
KINGSBURG-01.P,20170216,58,50,5.22222222222
KINGSBURG-01.P,20170217,57,51,5.22222222222
KINGSBURG-01.P,20170218,66,49,7.16666666667
KINGSBURG-01.P,20170219,58,47,4.38888888889
KINGSBURG-01.P,20170220,63,52,7.16666666667
KINGSBURG-01.P,20170221,69,49,8.0
KINGSBURG-01.P,20170222,57,42,2.72222222222
KINGSBURG-01.P,20170223,55,35,0.222222222222
KINGSBURG-01.P,20170224,58,30,-0.333333333333
