Station,Date,Air max,Air min,heat unit
EASTON-01.P,20170101,53,36,-0.0555555555556
EASTON-01.P,20170102,50,38,-0.333333333333
EASTON-01.P,20170103,56,40,1.88888888889
EASTON-01.P,20170104,56,49,4.38888888889
EASTON-01.P,20170105,55,34,-0.0555555555556
EASTON-01.P,20170106,54,29,-1.72222222222
EASTON-01.P,20170107,58,45,3.83333333333
EASTON-01.P,20170108,73,55,10.7777777778
EASTON-01.P,20170109,60,54,6.88888888889
EASTON-01.P,20170110, , ,
EASTON-01.P,20170111,59,50,5.5
EASTON-01.P,20170112,53,43,1.88888888889
EASTON-01.P,20170113,51,39,0.222222222222
EASTON-01.P,20170114,48,39,-0.611111111111
EASTON-01.P,20170115,47,40,-0.611111111111
EASTON-01.P,20170116,51,36,-0.611111111111
EASTON-01.P,20170117,57,31,-0.333333333333
EASTON-01.P,20170118,58,37,1.61111111111
EASTON-01.P,20170119,59,46,4.38888888889
EASTON-01.P,20170120,54,44,2.44444444444
EASTON-01.P,20170121,56,40,1.88888888889
EASTON-01.P,20170122,57,47,4.11111111111
EASTON-01.P,20170123,56,38,1.33333333333
EASTON-01.P,20170124,54,33,-0.611111111111
EASTON-01.P,20170125,57,31,-0.333333333333
EASTON-01.P,20170126,55,33,-0.333333333333
EASTON-01.P,20170127,59,33,0.777777777778
EASTON-01.P,20170128,64,31,1.61111111111
EASTON-01.P,20170129,60,30,0.222222222222
EASTON-01.P,20170130,63,33,1.88888888889
EASTON-01.P,20170131,69,37,4.66666666667
EASTON-01.P,20170201,66,38,4.11111111111
EASTON-01.P,20170202,64,50,6.88888888889
EASTON-01.P,20170203,68,51,8.27777777778
EASTON-01.P,20170204,66,44,5.77777777778
EASTON-01.P,20170205,60,42,3.55555555556
EASTON-01.P,20170206,59,52,6.05555555556
EASTON-01.P,20170207,67,53,8.55555555556
EASTON-01.P,20170208,68,58,10.2222222222
EASTON-01.P,20170209,63,57,8.55555555556
EASTON-01.P,20170210,61,53,6.88888888889
EASTON-01.P,20170211,54,46,3.0
EASTON-01.P,20170212,63,42,4.38888888889
EASTON-01.P,20170213,64,41,4.38888888889
EASTON-01.P,20170214,70,43,6.61111111111
EASTON-01.P,20170215,74,45,8.27777777778
EASTON-01.P,20170216,58,51,5.5
EASTON-01.P,20170217,57,51,5.22222222222
EASTON-01.P,20170218,67,49,7.44444444444
EASTON-01.P,20170219,58,47,4.38888888889
EASTON-01.P,20170220,64,52,7.44444444444
EASTON-01.P,20170221,68,49,7.72222222222
EASTON-01.P,20170222,57,42,2.72222222222
EASTON-01.P,20170223,54,34,-0.333333333333
EASTON-01.P,20170224,58,31,-0.0555555555556
EASTON-01.P,20170225,57,31,-0.333333333333
EASTON-01.P,20170226,59,34,1.05555555556
EASTON-01.P,20170227,59,39,2.44444444444
EASTON-01.P,20170228,60,34,1.33333333333
EASTON-01.P,20170301,64,33,2.16666666667
EASTON-01.P,20170302,68,35,3.83333333333
EASTON-01.P,20170303,72,35,4.94444444444
EASTON-01.P,20170304,70,41,6.05555555556
EASTON-01.P,20170305,55,37,0.777777777778
EASTON-01.P,20170306,59,31,0.222222222222
EASTON-01.P,20170307,64,33,2.16666666667
EASTON-01.P,20170308,68,38,4.66666666667
EASTON-01.P,20170309,72,42,6.88888888889
EASTON-01.P,20170310,71,47,8.0
EASTON-01.P,20170311,75,46,8.83333333333
EASTON-01.P,20170312,78,49,10.5
EASTON-01.P,20170313,82,46,10.7777777778
EASTON-01.P,20170314,89,50,13.8333333333
EASTON-01.P,20170315,87,53,14.1111111111
EASTON-01.P,20170316,76,51,10.5
EASTON-01.P,20170317,82,47,11.0555555556
EASTON-01.P,20170318,83,53,13.0
EASTON-01.P,20170319,76,49,9.94444444444
EASTON-01.P,20170320,72,54,10.2222222222
EASTON-01.P,20170321,72,53,9.94444444444
EASTON-01.P,20170322,65,46,6.05555555556
EASTON-01.P,20170323,66,41,4.94444444444
EASTON-01.P,20170324,62,47,5.5
EASTON-01.P,20170325,64,49,6.61111111111
EASTON-01.P,20170326,66,45,6.05555555556
EASTON-01.P,20170327,66,49,7.16666666667
EASTON-01.P,20170328,69,41,5.77777777778
EASTON-01.P,20170329,75,46,8.83333333333
EASTON-01.P,20170330,66,49,7.16666666667
EASTON-01.P,20170331,68,46,6.88888888889
EASTON-01.P,20170401,76,43,8.27777777778
EASTON-01.P,20170402,79,47,10.2222222222
EASTON-01.P,20170403,76,48,9.66666666667
EASTON-01.P,20170404,79,44,9.38888888889
EASTON-01.P,20170405,84,47,11.6111111111
EASTON-01.P,20170406,72,54,10.2222222222
EASTON-01.P,20170407,64,53,7.72222222222
EASTON-01.P,20170408,60,43,3.83333333333
EASTON-01.P,20170409,66,36,3.55555555556
EASTON-01.P,20170410,70,40,5.77777777778
EASTON-01.P,20170411,74,48,9.11111111111
EASTON-01.P,20170412,79,50,11.0555555556
EASTON-01.P,20170413,68,50,8.0
EASTON-01.P,20170414,67,43,5.77777777778
EASTON-01.P,20170415,73,40,6.61111111111
EASTON-01.P,20170416,77,47,9.66666666667
EASTON-01.P,20170417,77,56,12.1666666667
EASTON-01.P,20170418,67,52,8.27777777778
EASTON-01.P,20170419,74,48,9.11111111111
EASTON-01.P,20170420,74,48,9.11111111111
EASTON-01.P,20170421,78,45,9.38888888889
EASTON-01.P,20170422,81,49,11.3333333333
EASTON-01.P,20170423,75,53,10.7777777778
EASTON-01.P,20170424,70,49,8.27777777778
EASTON-01.P,20170425,73,50,9.38888888889
EASTON-01.P,20170426,75,49,9.66666666667
